Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-26JAN09-HEAL,What will Rachel Maddow say during Jimmy Kimmel Live!?,yes,100,2026-01-09T05:24:06.216868Z,99,2026-01-09T05:24:06.216868Z,91,2026-01-09T15:00:00Z,575.9,34553,CORRECT,644
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC26-FREE,What will Jimmy Kimmel say during Alternative Christmas Message?,no,0,2025-12-25T16:02:38.755245Z,96,,,2025-12-25T19:38:22.143913Z,,,WRONG,342
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-TRUM,What will Pete Buttigieg say during Jimmy Kimmel Live!?,yes,100,2025-12-10T21:01:33.920553Z,90,2025-12-11T05:23:48.146921Z,90,2025-12-11T15:00:00Z,576.2,34571,CORRECT,50
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-REPU,What will Pete Buttigieg say during Jimmy Kimmel Live!?,yes,100,2025-12-11T05:27:00.111736Z,98,2025-12-11T05:27:00.111736Z,95,2025-12-11T15:00:00Z,573.0,34379,CORRECT,70
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-ICE,What will Pete Buttigieg say during Jimmy Kimmel Live!?,no,0,2025-12-11T05:22:45.162583Z,91,,,2025-12-11T15:00:00Z,,,WRONG,180
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-HEAL,What will Pete Buttigieg say during Jimmy Kimmel Live!?,yes,100,2025-12-11T05:05:50.474133Z,91,2025-12-11T05:26:56.622082Z,91,2025-12-11T15:00:00Z,573.0,34383,CORRECT,123
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-EPST,What will Pete Buttigieg say during Jimmy Kimmel Live!?,no,0,2025-12-11T05:30:57.589139Z,91,,,2025-12-11T15:00:00Z,,,WRONG,132
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-BIDE,What will Pete Buttigieg say during Jimmy Kimmel Live!?,no,0,2025-12-11T05:24:07.25116Z,91,,,2025-12-11T15:00:00Z,,,WRONG,174
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC11-AFFO,What will Pete Buttigieg say during Jimmy Kimmel Live!?,yes,100,2025-12-10T20:17:23.232936Z,91,2025-12-11T05:27:33.222437Z,95,2025-12-11T15:00:00Z,572.4,34346,CORRECT,69
KXKIMMELMENTION,Jimmy Kimmel Mention,KXKIMMELMENTION-25DEC04-JOHN,What will Druski say during Jimmy Kimmel Live!?,no,0,2025-12-04T05:27:05.233023Z,90,,,2025-12-04T15:00:00Z,,,WRONG,204
