ticker,title,category,series_ticker,result,hit_90_percent,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S202682B23D2DF72-6051F455F66,"yes Nebraska,no Nebraska wins by over 4.5 Points,yes Over 157.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20265AA3AD96E5D-6E6FFBAA9BB,"yes New York,no Los Angeles C wins by over 5.5 Points,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20260D30A982F16-230B02D4519,"yes LSU,yes Villanova,yes Nebraska,yes Wisconsin",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202680A68F4F58E-0FC85474DC3,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Marquette,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20264FA6EF21493-F458B85406A,"yes Phoenix,yes Indiana,yes Los Angeles L,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026359FCD208DA-37474F69DE2,"yes Nebraska,yes Over 129.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202658EC6DA384E-4C7E29A5399,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202624143AF35D7-E221DFFC99E,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes BYU,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes UNLV,yes Vanderbilt,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,152,
KXMVESPORTSMULTIGAMEEXTENDED-S2026BF0BCBD1CB4-E5A884D0C42,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Houston,yes Iowa St.,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026D947A07403B-E9C7BDCCC75,"yes Arkansas,yes Western Illinois,yes Iowa St.,yes Marquette,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,40,
KXMVESPORTSMULTIGAMEEXTENDED-S202603D18C1524E-072C590F1EE,"yes LSU,yes Eastern Illinois,yes Villanova,yes Nebraska,yes Wisconsin",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202636D09D7270E-56638D08655,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,360,
KXMVESPORTSMULTIGAMEEXTENDED-S202661C68BF9035-4ECCC358B98,"yes Phoenix,yes Houston,yes San Antonio,yes Arkansas,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,351,
KXMVESPORTSMULTIGAMEEXTENDED-S202650E6882676C-F758DEE492C,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Houston,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B554DED8125-A75E950A5FC,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Houston,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20266E601E61B87-73C0AD23148,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,21,
KXMVESPORTSMULTIGAMEEXTENDED-S2026EA01531E73A-6FD52B7BF58,"yes Arkansas,yes Colorado St.,yes Duke,yes Houston,yes Iowa St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026BEAA744B321-8988B6EB6E6,"yes New York,yes Houston,yes Western Illinois,yes Villanova,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202604B68D9030B-0E047FF0DED,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20266D1531E313F-52A537357BA,"yes Arkansas,yes Colorado St.,yes Duke,yes Utah St.,yes Houston,yes Nebraska,yes UNLV,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,2,
KXMVESPORTSMULTIGAMEEXTENDED-S202640E10E81C5D-B79BF87B605,"yes Colorado St.,yes Western Illinois,yes Marquette,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026C8550B42B13-F6DBF3A396B,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,168,
KXMVESPORTSMULTIGAMEEXTENDED-S20269D1437812DD-4062E6C45CA,"yes Indiana,yes Los Angeles C,yes Arkansas,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,14,
KXMVESPORTSMULTIGAMEEXTENDED-S2026338DED3EDDA-F23BD0B0298,"yes San Antonio,no New York wins by over 6.5 Points,yes Over 213.5 points scored,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,33,
