series_ticker,sub_category,total_markets,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
KXDOTA2GAME,Sports > Esports > Dota 2,116,0,,N/A,0,,N/A,4,50.0,NOT,112,89.3,NOT
KXEFLCHAMPIONSHIPGAME,Sports > Soccer > EFL Championship,64,0,,N/A,0,,N/A,0,,N/A,64,89.1,NOT
KXEKSTRAKLASAGAME,Sports > Soccer > Polish Ekstraklasa,42,0,,N/A,0,,N/A,0,,N/A,42,85.7,NOT
KXEPLGAME,Sports > Soccer > English Premier League,46,0,,N/A,0,,N/A,0,,N/A,46,91.3,PROFITABLE
KXEPLTOTAL,Sports > Soccer > English Premier League,79,1,100.0,PROFITABLE,0,,N/A,1,100.0,PROFITABLE,77,80.5,NOT
KXEREDIVISIEGAME,Sports > Soccer > Eredivisie,67,0,,N/A,0,,N/A,0,,N/A,67,82.1,NOT
KXETH15M,Crypto > Ethereum,60,6,100.0,PROFITABLE,15,80.0,NOT,25,88.0,NOT,14,100.0,PROFITABLE
KXEUROCUPGAME,Sports > Golf > PGA,85,0,,N/A,1,0.0,NOT,0,,N/A,84,85.7,NOT
KXEUROLEAGUEGAME,Sports > Other Sports,178,0,,N/A,0,,N/A,0,,N/A,178,94.4,PROFITABLE
KXF1RACE,Sports > Motorsport > Formula 1,20,0,,N/A,0,,N/A,0,,N/A,20,100.0,PROFITABLE
KXF1RACEPODIUM,Sports > Motorsport > Formula 1,32,0,,N/A,0,,N/A,4,100.0,PROFITABLE,28,78.6,NOT
KXFACUPGAME,Sports > Soccer > FA Cup,29,1,100.0,PROFITABLE,0,,N/A,0,,N/A,28,92.9,PROFITABLE
KXFIBACHAMPLEAGUEGAME,Sports > Other Sports,86,0,,N/A,0,,N/A,0,,N/A,86,86.0,NOT
KXFIBAECUPGAME,Sports > Golf > PGA,42,0,,N/A,0,,N/A,2,100.0,PROFITABLE,40,90.0,NOT
KXFIFAGAME,Sports > Esports > FIFA,58,0,,N/A,2,100.0,PROFITABLE,1,0.0,NOT,55,96.4,PROFITABLE
KXFLIGHTJFK,World > Flight Delays,24,0,,N/A,0,,N/A,8,100.0,PROFITABLE,16,87.5,NOT
KXFOMEN,Sports > Tennis > French Open Men's Singles,38,7,71.4,NOT,2,50.0,NOT,6,66.7,NOT,23,95.7,PROFITABLE
KXFOWOMEN,Sports > Tennis > French Open Women's Singles,45,6,83.3,NOT,6,100.0,PROFITABLE,4,100.0,PROFITABLE,29,79.3,NOT
KXGAS,Economics > Energy Prices,32,22,81.8,NOT,7,100.0,PROFITABLE,1,100.0,PROFITABLE,2,100.0,PROFITABLE
KXGDP,Economics > GDP,43,9,77.8,NOT,10,100.0,PROFITABLE,9,88.9,NOT,15,100.0,PROFITABLE
KXHIGHAUS,Climate and Weather > Temperature,32,1,100.0,PROFITABLE,0,,N/A,6,83.3,NOT,25,88.0,NOT
KXHIGHCHI,Climate and Weather > Temperature,50,0,,N/A,8,100.0,PROFITABLE,16,100.0,PROFITABLE,26,69.2,NOT
