sub_category,wins,total_markets,avg_entry_price,category,losses,accuracy,ev_no_fees_cents,kalshi_fee_cents,ev_after_fees_cents,breakeven_accuracy,accuracy_cushion
KXNCAAMBGAME,20,20,0.9179999999999999,Sports,0,1.0,8.200000000000003,0.5269320000000004,7.673068000000002,0.92326932,0.07673068000000005
KXNBASPREAD,39,39,0.9223076923076923,Sports,0,1.0,7.769230769230774,0.5015934911242607,7.267637278106513,0.9273236272189348,0.0726763727810652
KXGBP,32,32,0.9353125,Financials,0,1.0,6.46875,0.42352119140625,6.04522880859375,0.9395477119140625,0.0604522880859375
KXFED,33,33,0.9393939393939394,Economics,0,1.0,6.060606060606062,0.39853076216712546,5.662075298438937,0.9433792470156106,0.0566207529843894
KXNBAGAME,97,97,0.941958762886598,Sports,0,1.0,5.804123711340196,0.38270716335423516,5.421416547985961,0.9457858345201404,0.05421416547985958
KXNCAAFGAME,100,101,0.9327722772277227,Sports,1,0.9900990099009901,5.732673267326746,0.4389570924419179,5.293716174884828,0.9371618481521419,0.052937161748848216
KXSCOTTISHPREMGAME,57,59,0.9077966101694915,Sports,2,0.9661016949152542,5.830508474576277,0.5859134731399024,5.244595001436375,0.9136557449008904,0.05244595001436381
KXEUROIMF,27,27,0.9492592592592592,Financials,0,1.0,5.074074074074076,0.33716282578875184,4.736911248285324,0.9526308875171468,0.04736911248285325
KXWTAMATCH,91,95,0.9072631578947368,Sports,4,0.9578947368421052,5.063157894736847,0.588957041551247,4.4742008531856,0.9131527283102493,0.04474200853185595
KXLIGUE1GAME,58,61,0.9036065573770492,Sports,3,0.9508196721311475,4.721311475409834,0.609712227895727,4.111599247514107,0.9097036796560064,0.04111599247514108
KXNFLGAME,100,101,0.9477227722772277,Sports,1,0.9900990099009901,4.237623762376245,0.34681023429075614,3.8908135280854887,0.9511908746201353,0.038908135280854794
KXLOWTMIA,31,32,0.9296875,Climate and Weather,1,0.96875,3.90625,0.45758056640625,3.44866943359375,0.9342633056640625,0.03448669433593754
KXNBAREB,55,55,0.9676363636363636,Sports,0,1.0,3.2363636363636346,0.21921361983471083,3.0171500165289236,0.9698284998347106,0.030171500165289356
KXNASDAQ100Z,55,57,0.9324561403508772,Financials,2,0.9649122807017544,3.245614035087712,0.44087180670975684,2.8047422283779553,0.9368648584179747,0.028047422283779655
KXMTA,25,26,0.9292307692307692,Transportation,1,0.9615384615384616,3.2307692307692406,0.4603266272189352,2.7704426035503054,0.9338340355029585,0.02770442603550305
KXATPCHALLENGERMATCH,80,85,0.9082352941176471,Sports,5,0.9411764705882353,3.294117647058812,0.583407612456747,2.710710034602065,0.9140693702422147,0.027107100346020596
KXEUROLEAGUEGAME,90,96,0.9044791666666666,Sports,6,0.9375,3.302083333333343,0.6047762261284726,2.69730710720487,0.9105269289279514,0.026973071072048604
KXFACUPGAME,32,34,0.9085294117647059,Sports,2,0.9411764705882353,3.264705882352928,0.5817260380622836,2.682979844290644,0.9143466721453288,0.02682979844290645
KXMLBGAME,96,101,0.9202970297029703,Sports,5,0.9504950495049505,3.019801980198011,0.5134528477600234,2.5063491324379874,0.9254315581805705,0.025063491324379905
KXATPMATCH,80,85,0.9121176470588236,Sports,5,0.9411764705882353,2.9058823529411626,0.5611133148788925,2.34476903806227,0.9177287802076125,0.023447690380622777
KXBTC15M,51,55,0.9007272727272727,Crypto,4,0.9272727272727272,2.654545454545442,0.6259235702479341,2.028621884297508,0.9069865084297521,0.0202862188429751
KXNCAAFTOTAL,112,119,0.9157142857142857,Sports,7,0.9411764705882353,2.5462184873949525,0.5402714285714286,2.0059470588235238,0.921117,0.020059470588235317
KXFIFAGAME,67,72,0.9080555555555555,Sports,5,0.9305555555555556,2.25,0.5844346450617288,1.6655653549382712,0.9138999020061729,0.0166556535493827
KXUCLGAME,50,54,0.9051851851851852,Sports,4,0.9259259259259259,2.074074074074076,0.6007747599451303,1.4732993141289459,0.9111929327846364,0.014732993141289508
KXNBATOTAL,93,100,0.9098999999999999,Sports,7,0.93,2.010000000000005,0.5738739300000004,1.4361260700000047,0.9156387393,0.0143612607000001
KXNHLGAME,99,106,0.915566037735849,Sports,7,0.9339622641509434,1.8396226415094503,0.5411340779636886,1.2984885635457617,0.9209773785154859,0.012984885635457522
KXT20MATCH,19,20,0.9335000000000001,Sports,1,0.95,1.6499999999999915,0.4345442499999994,1.215455749999992,0.9378454425000001,0.01215455749999983
KXCPIGAS,46,48,0.945625,Economics,2,0.9583333333333334,1.2708333333333428,0.3599285156249997,0.9109048177083431,0.94922428515625,0.009109048177083356
KXAAAGASM,66,69,0.9439130434782608,Economics,3,0.9565217391304348,1.260869565217405,0.37058846880907437,0.8902810964083305,0.9476189281663515,0.008902810964083296
KXSNOWNYM,31,33,0.9260606060606061,Climate and Weather,2,0.9393939393939394,1.3333333333333286,0.47930651974288296,0.8540268135904456,0.9308536712580349,0.008540268135904583
KXNFLTOTAL,83,90,0.9086666666666667,Sports,7,0.9222222222222223,1.3555555555555543,0.5809408888888885,0.7746146666666658,0.9144760755555557,0.00774614666666662
KXNFLMENTION,103,110,0.9256363636363637,Mentions,7,0.9363636363636364,1.0727272727272634,0.48183580165289225,0.5908914710743711,0.9304547216528927,0.005908914710743729
KXSLGREECEGAME,21,23,0.9026086956521739,Sports,2,0.9130434782608695,1.0434782608695627,0.6153436672967862,0.4281345935727765,0.9087621323251418,0.0042813459357277095
KXCPIUSEDCAR,42,44,0.9513636363636363,Economics,2,0.9545454545454546,0.3181818181818272,0.3238960743801657,-0.005714256198338485,0.954602597107438,-5.7142561983414275e-05
KXUELGAME,59,65,0.9064615384615385,Sports,6,0.9076923076923077,0.12307692307692264,0.5935231242603547,-0.47044620118343206,0.9123967697041421,-0.004704462011834387
KXHIGHMIA,31,34,0.9114705882352941,Climate and Weather,3,0.9117647058823529,0.029411764705869814,0.564843685121107,-0.5354319204152372,0.9171190250865052,-0.0053543192041523024
KXSUPERLIGGAME,58,64,0.90578125,Sports,6,0.90625,0.046875,0.5973910400390626,-0.5505160400390626,0.9117551604003906,-0.0055051604003906185
KXBANKRUPTS,48,51,0.943921568627451,Economics,3,0.9411764705882353,-0.27450980392157476,0.37053548635140304,-0.6450452902729777,0.947626923490965,-0.00645045290272972
KXEPLGAME,49,54,0.9087037037037037,Sports,5,0.9074074074074074,-0.1296296296296191,0.5807289780521264,-0.7103586076817455,0.9145109934842249,-0.007103586076817492
KXWTACHALLENGERMATCH,77,85,0.9105882352941177,Sports,8,0.9058823529411765,-0.470588235294116,0.5699211072664357,-1.0405093425605516,0.916287446366782,-0.010405093425605583
KXUNITEDCUPMATCH,50,55,0.9169090909090909,Sports,5,0.9090909090909091,-0.7818181818181813,0.5333076694214878,-1.315125851239669,0.9222421676033058,-0.013151258512396735
KXNBAMENTION,84,93,0.9109677419354839,Mentions,9,0.9032258064516129,-0.7741935483871032,0.5677386056191465,-1.3419321540062497,0.9166451279916753,-0.013419321540062423
KXGDP,70,76,0.9301315789473684,Economics,6,0.9210526315789473,-0.9078947368420955,0.45490777354570644,-1.362802510387802,0.9346806566828255,-0.013628025103878172
KXUFCFIGHT,77,84,0.9269047619047619,Sports,7,0.9166666666666666,-1.0238095238095326,0.4742662698412699,-1.4980757936508025,0.9316474246031745,-0.014980757936507882
KXCASED,78,85,0.9321176470588236,Health,7,0.9176470588235294,-1.4470588235294173,0.4429203737024217,-1.889979197231839,0.9365468507958478,-0.01889979197231839
KXGAS,53,58,0.9301724137931034,Economics,5,0.9137931034482759,-1.6379310344827616,0.4546618608799049,-2.0925928953626665,0.9347190324019026,-0.02092592895362666
KXNHLTOTAL,129,142,0.925774647887324,Sports,13,0.9084507042253521,-1.732394366197184,0.48101164451497685,-2.213406010712161,0.9305847643324738,-0.02213406010712171
KXFEDDECISION,22,24,0.9387500000000001,Economics,2,0.9166666666666666,-2.208333333333357,0.4024890624999995,-2.6108223958333565,0.9427748906250001,-0.026108223958333454
KXU3,83,90,0.9498888888888888,Economics,7,0.9222222222222223,-2.7666666666666515,0.3331999135802476,-3.099866580246899,0.9532208880246913,-0.030998665802469016
KXTORNADO,19,21,0.9319047619047619,Climate and Weather,2,0.9047619047619048,-2.714285714285708,0.4442079365079366,-3.1584936507936447,0.9363468412698412,-0.03158493650793648
KXNBA3PT,47,50,0.97,Sports,3,0.94,-3.0,0.2037000000000002,-3.2037,0.9720369999999999,-0.03203699999999998
KXLEAVITTLATE,39,43,0.9402325581395349,Mentions,4,0.9069767441860465,-3.3255813953488342,0.39336706327744736,-3.7189484586262815,0.9441662287723094,-0.03718948458626292
KXWOWHOCKEY,19,21,0.939047619047619,Sports,2,0.9047619047619048,-3.4285714285714164,0.40066031746031766,-3.829231746031734,0.9430542222222222,-0.03829231746031747
KXCPI,73,81,0.9412345679012345,Economics,8,0.9012345679012346,-4.0,0.38718439262307613,-4.387184392623076,0.9451064118274652,-0.04387184392623067
KXRANKLISTSONGTOP10,29,32,0.9634375,Entertainment,3,0.90625,-5.71875,0.24657978515625037,-5.965329785156251,0.9659032978515626,-0.05965329785156259
