ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-A3EC6E6274E,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,19,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-9C48FC28CEA,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,241,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-8C6092E4444,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-778570EF5F6,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-55F0B87449C,"yes Cooper Flagg: 15+,yes Jalen Brunson: 30+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-46A811BE4F5,"yes Cooper Flagg: 15+,yes Pascal Siakam: 25+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-3F939C83795,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,1,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-3AA18B74311,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-3135953362C,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-2B77DF4AC5F,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,10,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-206A08F813F,"yes Cooper Flagg: 15+,yes Mikal Bridges: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,145,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-20551A69C48,"yes Cooper Flagg: 15+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,10,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-17E3D7CDBBD,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263BBFF181F67-12E7D7C30BA,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,18,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-FEF7CF0102C,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-EC9144BD7AE,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 20+,yes Josh Hart: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-EA79F27CE2C,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Josh Hart: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-D4CB7DFE8C3,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-790EC9DE078,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 15+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-26FAB0052AF,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Jalen Brunson: 4+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263B8DD05D6A1-256AEDB26A6,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Mikal Bridges: 10+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-F9E029AFA8E,"yes Cooper Flagg: 15+,yes Jalen Brunson: 30+,yes Mikal Bridges: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-EAFC7916CC6,"yes Cooper Flagg: 15+,yes Pascal Siakam: 25+,yes Jalen Brunson: 30+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-E9D9A0BAD49,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-D837D967847,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Mikal Bridges: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-D3286A446A4,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Karl-Anthony Towns: 15+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-CC857BD90A6,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 25+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-C1BD6F3359A,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-C1569F45314,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Mikal Bridges: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
