Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXATPMATCH-26FEB10BARSEY-SEY,Will Thiago Seyboth Wild win the Barrios Vera vs Seyboth Wild : Round Of 32 match?,no,0,YES,2026-02-10T18:02:50.732438Z,93,,,2026-02-10T18:16:09Z,,,WRONG,1000
KXATPMATCH-26FEB10BARSEY-BAR,Will Marcelo Tomas Barrios Vera win the Barrios Vera vs Seyboth Wild : Round Of 32 match?,yes,100,YES,2026-02-10T18:11:42.80906Z,95,2026-02-10T18:11:53.065492Z,90,2026-02-10T18:16:09Z,4.2,255,CORRECT,1000
KXATPMATCH-26FEB08ALTCER-CER,Will Juan Manuel Cerundolo win the Altmaier vs Cerundolo : Round Of 32 match?,yes,100,YES,2026-02-10T16:30:14.935998Z,92,2026-02-10T17:14:50.174319Z,90,2026-02-10T17:42:10Z,27.3,1639,CORRECT,1000
KXATPMATCH-26FEB08ALTCER-ALT,Will Daniel Altmaier win the Altmaier vs Cerundolo : Round Of 32 match?,no,0,NO,,,,,2026-02-10T17:42:10Z,,,,1000
KXATPMATCH-26FEB08BERMAR-MAR,Will Fabian Marozsan win the Bergs vs Marozsan : Round Of 32 match?,scalar,50,NO,,,,,2026-02-10T15:51:06Z,,,,69
KXATPMATCH-26FEB08BERMAR-BER,Will Zizou Bergs win the Bergs vs Marozsan : Round Of 32 match?,scalar,50,NO,,,,,2026-02-10T15:51:06Z,,,,56
KXATPMATCH-26FEB09GRESTR-STR,Will Jan-Lennard Struff win the Grenier vs Struff : Round Of 32 match?,yes,100,YES,2026-02-10T14:10:44.511525Z,90,2026-02-10T14:57:47.050666Z,90,2026-02-10T15:06:06Z,8.3,498,CORRECT,898
KXATPMATCH-26FEB09GRESTR-GRE,Will Hugo Grenier win the Grenier vs Struff : Round Of 32 match?,no,0,NO,,,,,2026-02-10T15:06:06Z,,,,600
KXATPMATCH-26FEB08GRIMPE-MPE,Will Giovanni Mpetshi Perricard win the Griekspoor vs Mpetshi Perricard : Round Of 32 match?,no,0,NO,,,,,2026-02-10T13:41:50Z,,,,1000
KXATPMATCH-26FEB08GRIMPE-GRI,Will Tallon Griekspoor win the Griekspoor vs Mpetshi Perricard : Round Of 32 match?,yes,100,YES,2026-02-10T13:34:04.922379Z,90,2026-02-10T13:34:16.761924Z,91,2026-02-10T13:41:50Z,7.5,453,CORRECT,1000
KXATPMATCH-26FEB09HALROT-ROT,Will Mees Rottgering win the Halys vs Rottgering : Round Of 32 match?,no,0,NO,,,,,2026-02-10T12:12:23Z,,,,953
KXATPMATCH-26FEB09HALROT-HAL,Will Quentin Halys win the Halys vs Rottgering : Round Of 32 match?,yes,100,YES,2026-02-10T11:31:19.754866Z,91,2026-02-10T11:31:19.754866Z,91,2026-02-10T12:12:23Z,41.0,2463,CORRECT,966
KXATPMATCH-26FEB09ZHEKOR-ZHE,Will Michael Zheng win the Zheng vs Korda : Round Of 32 match?,no,0,NO,,,,,2026-02-10T04:31:49Z,,,,1000
KXATPMATCH-26FEB09ZHEKOR-KOR,Will Sebastian Korda win the Zheng vs Korda : Round Of 32 match?,yes,100,YES,2026-02-10T03:38:55.401874Z,90,2026-02-10T04:22:28.042055Z,90,2026-02-10T04:31:49Z,9.3,560,CORRECT,892
KXATPMATCH-26FEB09ATMTIA-TIA,Will Frances Tiafoe win the Atmane vs Tiafoe : Round Of 32 match?,yes,100,YES,2026-02-10T02:29:51.504149Z,91,2026-02-10T02:45:10.038998Z,91,2026-02-10T03:02:04Z,16.9,1013,CORRECT,1000
KXATPMATCH-26FEB09ATMTIA-ATM,Will Terence Atmane win the Atmane vs Tiafoe : Round Of 32 match?,no,0,NO,,,,,2026-02-10T03:02:04Z,,,,1000
