Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-25NOV15-GOL,"Billboard 100 #2 on Nov 15, 2025 chart?",yes,100,2025-11-06T07:45:19.874263Z,91,2025-11-10T03:52:27.835257Z,94,2025-11-10T03:59:00Z,6.5,392,CORRECT,45
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-25NOV08-GOL,"Billboard 100 #2 on Nov 8, 2025 chart?",yes,100,2025-10-26T18:22:12.639667Z,94,2025-10-30T09:03:05.986511Z,94,2025-11-03T03:59:00Z,5455.9,327354,CORRECT,84
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-25NOV01-GOL,"Billboard 100 #2 on Nov 1, 2025 chart?",yes,100,2025-10-20T20:36:58.138635Z,90,2025-10-24T15:19:13.505313Z,95,2025-10-27T03:59:00Z,3639.8,218386,CORRECT,145
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG-25NOV01-WOO,"Billboard 100 #2 on Nov 1, 2025 chart?",no,0,2025-10-26T20:52:03.686683Z,99,,,2025-10-27T03:59:00Z,,,WRONG,5
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26FEB05-GRE,"Top Song on Weekly Top Songs USA on Feb 5, 2026?",yes,100,2026-02-04T17:17:41.787433Z,98,2026-02-04T18:16:37.81032Z,92,2026-02-06T04:59:00Z,2082.4,124942,CORRECT,488
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26JAN29-APE,"Top Song on Weekly Top Songs USA on Jan 29, 2026?",yes,100,2026-01-23T20:49:33.639701Z,91,2026-01-26T14:22:28.403069Z,90,2026-01-30T04:59:00Z,5196.5,311791,CORRECT,112
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26JAN22-IJU,"Top Song on Weekly Top Songs USA on Jan 22, 2026?",yes,100,2026-01-22T06:27:25.8962Z,99,2026-01-22T06:27:25.8962Z,99,2026-01-23T04:59:00Z,1351.6,81094,CORRECT,105
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26JAN22-WHA,"Top Song on Weekly Top Songs USA on Jan 22, 2026?",no,0,2026-01-21T18:18:11.381523Z,99,,,2026-01-23T04:59:00Z,,,WRONG,57
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26JAN15-END,"Top Song on Weekly Top Songs USA on Jan 15, 2026?",yes,100,2026-01-16T03:53:30.860517Z,95,2026-01-16T03:53:30.860517Z,95,2026-01-16T04:59:00Z,65.5,3929,CORRECT,1
KXSPOTIFYW,Weekly US Spotify chart,KXSPOTIFYW-26JAN08-GOL,"Top Song on Weekly Top Songs USA on Jan 8, 2026?",no,0,2026-01-09T00:43:01.336527Z,99,,,2026-01-09T04:59:00Z,,,WRONG,3
