ticker,category,count,median_gap,p25_gap,p75_gap,mean_gap
KXNFLRECYDS,Football,28,98.77184980000001,43.600048145833334,168.69339535,446.25011747976197
KXHIGHMIA,Temperature,24,104.99651226666668,63.01293188333333,139.481247975,103.35141361736112
KXHIGHCHI,Temperature,21,112.28228575,42.92568778333334,234.44713996666667,166.87141939126985
KXNFLTEAMTOTAL,Football,57,118.92743848333333,34.44262773333333,6087.2897795,2390.559148944737
KXHIGHNY,Temperature,22,128.32282561666668,67.16670435416667,200.0334921625,166.43009721060605
KXHIGHHOU,Temperature,20,132.19622059166667,52.75698921666667,382.36608978749996,251.1507102283333
KXCONGRESSMENTION,Mentions,76,132.861583575,55.132580904166666,1005.3771250083333,652.0198271975878
KXNFLREC,Football,41,157.74291631666668,63.992517666666664,2598.36463815,3278.425979469919
KXNFLMENTION,Mentions,41,180.04751033333332,25.66951613333333,3484.6348464499997,2315.286769859756
KXSNLMENTION,Mentions,20,187.38324758333334,20.788907229166668,210.82342786666666,487.96110708000003
KXTRUMPMENTIONB,Mentions,61,227.3293236,12.39818165,641.7384799166666,412.0982389467213
KXCASED,COVID-19,27,249.61353893333336,125.15775215000001,986.9265562666667,508.6996259839506
KXVANCEMENTION,Mentions,32,488.3285575666667,74.71157080833333,5098.946552933334,3536.649515069271
KXNCAAMENTION,Mentions,37,620.50855495,28.786684983333334,3430.807073366667,2174.652777174325
KXRAINNYC,Precipitation,22,662.680619225,368.8606637958334,874.1177589583333,639.2369476901514
KXTRUMPMENTION,Mentions,29,664.4702367000001,31.43290275,693.9571587833333,462.73364013850573
KXNBAMENTION,Mentions,42,914.8287081083333,178.39496579166666,1593.5123048874998,957.9410250972221
KXKIMMELMENTION,Mentions,31,1296.9986549333332,35.584514150000004,2943.8498011833335,1614.5115990983873
KXCOLBERTMENTION,Mentions,21,2847.94733925,1513.0638549,3280.0756978833333,2580.610386276984
KXSURVIVORMENTION,Mentions,25,3383.7799258,83.91312303333333,6401.829307183333,3783.1892156473336
KXAAAGASM,Energy Prices,23,5181.012931599999,2038.38690055,7771.335822091667,5527.918410266667
KXMRBEASTMENTION,Mentions,52,10518.285843766667,592.0544645833334,18950.050771291666,10569.35270643045
KXGDP,GDP,26,34735.265012675,9867.240193308333,56183.8195790375,36381.03454261154
