sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Health > COVID-19,KXCASED,6-12h,93-95¢,4,4,0,100.0,5.25,21.0,yes,CASED-21DEC07-T170|CASED-21NOV19-T95|CASED-21NOV05-T75|CASED-21OCT30-T80
Sports > Other Sports,KXARGLNBGAME,0-1h,96-98¢,7,7,0,100.0,3.0,21.0,yes,KXARGLNBGAME-26JAN28BOCSMC-SMC|KXARGLNBGAME-26JAN28LUFOBR-OBR|KXARGLNBGAME-26JAN23COMBOC-COM|KXARGLNBGAME-26JAN18RACLUF-LUF|KXARGLNBGAME-26JAN15FCOSLA-SLA
Politics > Approval Ratings,KX538APPROVEMIN,24h+,93-95¢,3,3,0,100.0,7.0,21.0,yes,KX538APPROVEMIN-24NOV30-T38|538APPROVEMIN-23MAY31-T42|538APPROVEMIN-23DEC31-T41
Sports > Soccer > Copa del Rey,KXCOPADELREYADVANCE,24h+,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXCOPADELREYADVANCE-26FEB03ALBBAR-BAR|KXCOPADELREYADVANCE-26JAN15SANBAR-BAR
Sports > Soccer > English Premier League,KXEPLSPREAD,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXEPLSPREAD-26FEB11MCIFUL-MCI1|KXEPLSPREAD-26JAN25BRENFO-NFO1
Sports > Tennis > WTA Challenger,KXWTACHALLENGERMATCH,12-24h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXWTACHALLENGERMATCH-26FEB08FREJAK-JAK|KXWTACHALLENGERMATCH-26FEB03RAJTAR-TAR
Climate and Weather > Temperature,KXHIGHCHI,1-3h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXHIGHCHI-26JAN24-B9.5|KXHIGHCHI-26JAN20-B24.5
Sports > Esports > FIFA,KXFIFAGAME,24h+,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXFIFAGAME-25NOV18MARUGA-MAR|KXFIFAGAME-25NOV18TTOBMU-TTO
Financials > Stock Indices,KXNASDAQ100Z,0-1h,93-95¢,3,3,0,100.0,6.67,20.0,yes,NASDAQ100Z-24FEB27-T17933.33|NASDAQ100Z-23NOV28-T15961.98|NASDAQ100Z-23OCT11-T15131.52
Sports > Tennis > ATP Challenger,KXATPCHALLENGERMATCH,0-1h,93-95¢,3,3,0,100.0,6.67,20.0,yes,KXATPCHALLENGERMATCH-26FEB10PERCOR-PER|KXATPCHALLENGERMATCH-26FEB10ENGECH-ECH|KXATPCHALLENGERMATCH-26FEB10ADDKLE-KLE
Politics > Approval Ratings,KX538APPROVEMAX,24h+,90-92¢,2,2,0,100.0,10.0,20.0,yes,538APPROVEMAX-23SEP30-T41|538APPROVEMAX-23JUN30-T42
Sports > Esports > League of Legends,KXLOLGAMES,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXLOLGAMES-GENKTR25-KTR|KXLOLGAMES-ANYT125-T1
Sports > Tennis > WTA Challenger,KXWTACHALLENGERMATCH,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXWTACHALLENGERMATCH-26FEB02IATYAM-YAM|KXWTACHALLENGERMATCH-26JAN31ETOKUL-KUL
World > Flight Delays,KXFLIGHTORD,12-24h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXFLIGHTORD-25NOV11-T200|FLIGHTORD-22AUG07-T600
Sports > Soccer > AFCON,KXAFCONADVANCE,6-12h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXAFCONADVANCE-26JAN05NGRMOZ-NGR|KXAFCONADVANCE-26JAN03SENSDN-SEN
Entertainment > Apps,KXAPPRANKFREE2,6-12h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXAPPRANKFREE2-25NOV06-THR|KXAPPRANKFREE2-25OCT30-SOR
Sports > Football > NCAA Football,KXNCAAFSPREAD,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXNCAAFSPREAD-26JAN19MIAIND-IND3|KXNCAAFSPREAD-25DEC30USCTCU-TCU2
Health > COVID-19,KXCASED,1-3h,90-92¢,2,2,0,100.0,10.0,20.0,yes,"CASED-22AUG03-T125,000|CASED-22MAR21-T40"
Sports > Soccer > UEFA Champions League,KXUCLTOTAL,12-24h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXUCLTOTAL-26JAN20BOGMCI-1|KXUCLTOTAL-25DEC09BMUSPO-1
Economics > Inflation,KXCPIYOY,12-24h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXCPIYOY-25JAN-T2.8|KXCPIYOY-24DEC-T2.8
Sports > Tennis > French Open Women's Singles,KXFOWOMEN,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXFOWOMEN-25SABSWI-SAB|KXFOWOMEN-25ANDBOI-BOI
Sports > Soccer > EFL Championship,KXEFLCHAMPIONSHIPGAME,0-1h,93-95¢,3,3,0,100.0,6.67,20.0,yes,KXEFLCHAMPIONSHIPGAME-26FEB09SHUMID-MID|KXEFLCHAMPIONSHIPGAME-26FEB10LEISOU-SOU|KXEFLCHAMPIONSHIPGAME-26JAN20SWABLA-SWA
World > Flight Delays,KXFLIGHTJFK,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,FLIGHTJFK-22AUG29-T400|FLIGHTJFK-22JUL17-T400
Climate and Weather > Temperature,KXLOWTCHI,0-1h,93-95¢,3,3,0,100.0,6.67,20.0,yes,KXLOWTCHI-26FEB06-T21|KXLOWTCHI-26FEB02-B20.5|KXLOWTCHI-26JAN14-B19.5
Sports > Motorsport > Formula 1,KXF1RACEPODIUM,12-24h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXF1RACEPODIUM-UNISGP25-NOR|KXF1RACEPODIUM-AZEGP25-VER
Sports > Football > NCAA Football,KXNCAAFTOTAL,0-1h,90-92¢,13,12,1,92.3,1.54,20.0,yes,KXNCAAFTOTAL-26JAN19MIAIND-24|KXNCAAFTOTAL-26JAN19MIAIND-27|KXNCAAFTOTAL-26JAN19MIAIND-30|KXNCAAFTOTAL-26JAN19MIAIND-45|KXNCAAFTOTAL-26JAN19MIAIND-42
Sports > Basketball > NBA,KXNBASTL,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXNBASTL-26FEB11CHIBOS-BOSPPRITCHARD11-2|KXNBASTL-26FEB11CHIBOS-BOSDWHITE9-2
Sports > Tennis > ATP,KXATPSETWINNER,24h+,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXATPSETWINNER-26JAN27SHESIN-2-SIN|KXATPSETWINNER-26JAN22ALCMOU-1-ALC
Sports > Other Sports,KXCBAGAME,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXCBAGAME-26JAN26TIAGST-GST|KXCBAGAME-26JAN23SHADFST-SHAD
Sports > Esports > Counter-Strike,KXCS2GAME,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXCS2GAME-26FEB10CSBMB-CS|KXCS2GAME-26FEB10TRIICE-ICE
Sports > Tennis > ATP,KXATPDOUBLES,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXATPDOUBLES-25NOV15SALSKUCASGLA-SALSKU|KXATPDOUBLES-25NOV12AREPAVHARKIN-AREPAV
Sports > Tennis > ATP,KXATPDOUBLES,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXATPDOUBLES-25NOV15BOLVAVHELPAT-HELPAT|KXATPDOUBLES-25NOV13KRAPUTBOLVAV-KRAPUT
Mentions > Mentions,KXLEAVITTLATE,3-6h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXLEAVITTLATE-25DEC12-5|KXLEAVITTLATE-25NOV21-2
Sports > Basketball > NBA,KXNBATOTAL,24h+,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXNBATOTAL-26FEB11OKCPHX-202|KXNBATOTAL-26FEB11NYKPHI-208
Sports > Tennis > ATP Italian Open,KXATPIT,0-1h,90-92¢,2,2,0,100.0,10.0,20.0,yes,KXATPIT-25SINALC-ALC|KXATPIT-25BERRUU-RUU
Mentions > Mentions,KXLEAVITTLATE,12-24h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXLEAVITTLATE-26JAN08-2|KXLEAVITTLATE-25NOV04-2
Financials > Stock Indices,KXNASDAQ100Z,6-12h,93-95¢,3,3,0,100.0,6.33,19.0,yes,NASDAQ100Z-24MAR18-T17808.25|NASDAQ100Z-23NOV02-T14664.90|NASDAQ100Z-23SEP29-T14702.77
Sports > Basketball > NBA,KXNBAREB,1-3h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXNBAREB-26FEB11SASGSW-SASVWEMBANYAMA1-8|KXNBAREB-26FEB11NYKPHI-NYKMBRIDGES25-4
Sports > Golf > PGA,KXEUROCUPGAME,6-12h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXEUROCUPGAME-26FEB04LIOJLB-JLB|KXEUROCUPGAME-26JAN14LIOTTS-TTS
Sports > Golf > PGA,KXFIBAECUPGAME,12-24h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXFIBAECUPGAME-26FEB04SPOPAO-PAO|KXFIBAECUPGAME-26FEB03SOPMUR-MUR
Politics > Other Politics,KXLAGODAYS,24h+,93-95¢,3,3,0,100.0,6.33,19.0,yes,KXLAGODAYS-25NOV-4|KXLAGODAYS-25AUG-0|KXLAGODAYS-25JUL-0
Sports > Soccer > Japan J League,KXJLEAGUEGAME,6-12h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXJLEAGUEGAME-25NOV30ALBREY-REY|KXJLEAGUEGAME-25NOV30YOKKYO-KYO
Sports > Esports > Valorant,KXVALORANTGAME,6-12h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXVALORANTGAME-26JAN30BLGTE-BLG|KXVALORANTGAME-26JAN24WOLXLG-XLG
Sports > Soccer > Copa del Rey,KXCOPADELREYGAME,3-6h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXCOPADELREYGAME-25DEC17TALRMA-RMA|KXCOPADELREYGAME-25DEC17HUEOSA-TIE
Sports > Esports > Counter-Strike,KXCS2GAME,12-24h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXCS2GAME-26FEB10MOUPSSNUA-PSSNUA|KXCS2GAME-26JAN31BCGVIT-VIT
Sports > Basketball > NBA,KXWNBAGAME,24h+,93-95¢,3,3,0,100.0,6.33,19.0,yes,KXWNBAGAME-25SEP09CHILV-LV|KXWNBAGAME-25SEP07CHILV-LV|KXWNBAGAME-25SEP01DALMIN-MIN
Mentions > Mentions,KXLEAVITTLATE,1-3h,93-95¢,3,3,0,100.0,6.33,19.0,yes,KXLEAVITTLATE-25DEC12-7|KXLEAVITTLATE-25NOV21-5|KXLEAVITTLATE-25OCT06-5
Sports > Cricket > T20,KXCRICKETT20IMATCH,12-24h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXCRICKETT20IMATCH-25DEC23MYABHU-BHU|KXCRICKETT20IMATCH-25DEC08ZAMNIG-NIG
Sports > Cricket > T20,KXT20MATCH,3-6h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXT20MATCH-26FEB07SCOWI-WI|KXT20MATCH-26FEB10USAPAK-PAK
Climate and Weather > Temperature,KXLOWTNYC,6-12h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXLOWTNYC-26JAN30-B9.5|KXLOWTNYC-26JAN19-B22.5
Climate and Weather > Temperature,KXHIGHDEN,24h+,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXHIGHDEN-26JAN16-T42|KXHIGHDEN-26JAN12-T56
Sports > Football > NCAA Football,KXNCAAFPREPACKSGP,1-3h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXNCAAFPREPACKSGP-26JAN01ORETTU-OREU52|KXNCAAFPREPACKSGP-25DEC19ALAOKLA-ALAO40
Sports > Motorsport > Formula 1,KXF1RACE,6-12h,90-92¢,2,2,0,100.0,9.5,19.0,yes,KXF1RACE-LASVGP25-VER|KXF1RACE-DUTGP25-PIA
Sports > Basketball > NBA,KXNBAAST,0-1h,93-95¢,3,3,0,100.0,6.33,19.0,yes,KXNBAAST-26FEB11SASGSW-SASVWEMBANYAMA1-4|KXNBAAST-26FEB11SASGSW-GSWDGREEN23-5|KXNBAAST-26FEB11CHIBOS-BOSPPRITCHARD11-6
Transportation > Transportation,KXTSA,12-24h,90-92¢,2,2,0,100.0,9.0,18.0,yes,TSA-21AUG29-T1.8|TSA-21AUG28-T1.5
Sports > Motorsport > Formula 1,KXF1RACEPODIUM,1-3h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXF1RACEPODIUM-AZEGP25-SAI|KXF1RACEPODIUM-AZEGP25-RUS
Sports > Soccer > English Premier League,KXEPLTOTAL,24h+,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXEPLTOTAL-26FEB10CFCLEE-1|KXEPLTOTAL-26FEB07MUNTOT-1
Climate and Weather > Precipitation,KXRAINNYC,24h+,96-98¢,7,7,0,100.0,2.57,18.0,yes,KXRAINNYC-26JAN18-T0|KXRAINNYC-26JAN10-T0|KXRAINNYC-25DEC26-T0|KXRAINNYC-25DEC13-T0|KXRAINNYC-25NOV10-T0
Sports > Other Sports,KXFIBACHAMPLEAGUEGAME,1-3h,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXFIBACHAMPLEAGUEGAME-26FEB10AEKKAR-AEK|KXFIBACHAMPLEAGUEGAME-26JAN14LEVWUR-WUR|KXFIBACHAMPLEAGUEGAME-26JAN08MBBLMS-LMS
Mentions > Mentions,KXLEAVITTLATE,6-12h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXLEAVITTLATE-26JAN08-5|KXLEAVITTLATE-25DEC12-2
Climate and Weather > Temperature,KXHIGHDEN,12-24h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXHIGHDEN-26FEB10-T51|KXHIGHDEN-26JAN24-T20
Sports > Soccer > English Premier League,KXEPLSPREAD,0-1h,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXEPLSPREAD-26FEB07ARSSUN-ARS1|KXEPLSPREAD-26FEB02SUNBUR-SUN2|KXEPLSPREAD-26JAN25CRYCFC-CFC1
Sports > Other Sports,KXKBLGAME,1-3h,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXKBLGAME-26FEB02EGIKNI-EGI|KXKBLGAME-26JAN30DAEWON-WON|KXKBLGAME-26JAN10GOYSAK-SAK
Sports > Darts > Darts,KXDARTSMATCH,3-6h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXDARTSMATCH-25DEC22GVANASOU-GVAN|KXDARTSMATCH-25DEC22NASPLGAT-NASP
Sports > Basketball > NBA,KXNBAPTS,12-24h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXNBAPTS-26FEB11CHIBOS-BOSJBROWN7-20|KXNBAPTS-26FEB11OKCPHX-OKCJWILLIAMS8-20
Sports > Basketball > NBA,KXNBASPREAD,1-3h,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXNBASPREAD-26FEB11OKCPHX-OKC15|KXNBASPREAD-26FEB11SASGSW-SAS5|KXNBASPREAD-26FEB11SACUTA-UTA2
Economics > Inflation,KXCPIAPPAREL,24h+,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXCPIAPPAREL-24NOV-T-1.5|CPIAPPAREL-24APR-T-0.4|CPIAPPAREL-24APR-T-0.6
Sports > Esports > League of Legends,KXLOLGAMES,1-3h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXLOLGAMES-KTRCTB25-KTR|KXLOLGAMES-G2EFLY25-G2E
Sports > Golf > PGA,KXEUROCUPGAME,12-24h,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXEUROCUPGAME-26JAN14WROREV-REV|KXEUROCUPGAME-26JAN13TOWUNC-UNC
Sports > Golf > PGA,KXEUROCUPGAME,0-1h,93-95¢,3,3,0,100.0,6.0,18.0,yes,KXEUROCUPGAME-26FEB04TTSBJK-BJK|KXEUROCUPGAME-26JAN20BAHHAP-BAH|KXEUROCUPGAME-26JAN13MANBAH-MAN
Climate and Weather > Temperature,KXHIGHPHIL,24h+,90-92¢,2,2,0,100.0,9.0,18.0,yes,KXHIGHPHIL-26JAN20-T28|KXHIGHPHIL-26JAN10-T52
Economics > GDP,KXGDP,12-24h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXGDP-25JUL30-T2.0|GDP-24OCT30-T2.4
Climate and Weather > Temperature,KXLOWTDEN,3-6h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXLOWTDEN-26FEB10-T28|KXLOWTDEN-26JAN15-T30
Sports > Other Sports,KXJBLEAGUEGAME,12-24h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXJBLEAGUEGAME-26FEB08ALTJET-JET|KXJBLEAGUEGAME-26JAN31TOYALT-ALT
Sports > Golf > PGA,KXEUROCUPGAME,3-6h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXEUROCUPGAME-26JAN27LIPTTS-TTS|KXEUROCUPGAME-26JAN14LIPBUD-BUD
Sports > Soccer > UEFA Champions League,KXUCLTOTAL,3-6h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXUCLTOTAL-26JAN28MCIGAL-1|KXUCLTOTAL-26JAN28PSGNEW-1
Sports > Soccer > UEFA Europa League,KXUELGAME,1-3h,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXUELGAME-26JAN29MTABFC-BFC|KXUELGAME-25DEC11SKBFEN-FEN|KXUELGAME-25DEC11VFBMTA-VFB
Sports > Basketball > NBA,KXNBAPTS,0-1h,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXNBAPTS-26FEB11SASGSW-SASDFOX4-20|KXNBAPTS-26FEB11NYKPHI-PHIVEDGECOMBE77-10|KXNBAPTS-26FEB11WASCLE-CLEDMITCHELL45-25
Entertainment > Music charts,KXSPOTIFYW,24h+,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXSPOTIFYW-26JAN01-THEF|KXSPOTIFYW-25DEC18-ROC|KXSPOTIFYW-25DEC04-ROC
Health > COVID-19,KXBOOSTER,24h+,93-95¢,3,3,0,100.0,5.67,17.0,yes,BOOSTER-22APR27-T100.2|BOOSTER-22MAY1-T100|BOOSTER-22JAN15-T78
Entertainment > Movies,KXNETFLIXRANKSHOW,24h+,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXNETFLIXRANKSHOW-26JAN05-STR|KXNETFLIXRANKSHOW-25DEC22-JAK|KXNETFLIXRANKSHOW-25DEC08-SEA
Sports > Soccer > FA Cup,KXFACUPADVANCE,1-3h,90-92¢,2,2,0,100.0,8.5,17.0,yes,KXFACUPADVANCE-26JAN11DERLEE-LEE|KXFACUPADVANCE-26JAN09WRENFO-WRE
Sports > Soccer > Copa del Rey,KXCOPADELREYGAME,0-1h,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXCOPADELREYGAME-26JAN15SANBAR-BAR|KXCOPADELREYGAME-26JAN06GCFRVC-RVC|KXCOPADELREYGAME-25DEC17SANVIL-SAN
Sports > Basketball > NBA,KXNBAREB,0-1h,93-95¢,3,3,0,100.0,5.67,17.0,yes,KXNBAREB-26FEB11SASGSW-GSWDGREEN23-8|KXNBAREB-26FEB11SASGSW-GSWDGREEN23-7|KXNBAREB-26FEB11DETTOR-DETCCUNNINGHAM2-6
Sports > Soccer > La Liga,KXLALIGASPREAD,0-1h,90-92¢,12,11,1,91.7,1.33,16.0,yes,KXLALIGASPREAD-26FEB08ALAGET-GET1|KXLALIGASPREAD-26FEB07BARMAL-BAR2|KXLALIGASPREAD-26FEB07BARMAL-BAR1|KXLALIGASPREAD-26FEB02MALSEV-MAL2|KXLALIGASPREAD-26FEB02MALSEV-MAL1
Sports > Other Sports,KXNBLGAME,6-12h,90-92¢,2,2,0,100.0,8.0,16.0,yes,KXNBLGAME-25DEC04SEMILLA-ILLA|KXNBLGAME-25DEC04MELPER-PER
Economics > Inflation,KXCPIUSEDCAR,24h+,96-98¢,5,5,0,100.0,3.2,16.0,yes,KXCPIUSEDCAR-25JAN-T0|KXCPIUSEDCAR-24NOV-T0|CPIUSEDCAR-24SEP-T0|CPIUSEDCAR-24JUL-T-3|CPIUSEDCAR-23DEC-T-4
Mentions > Mentions,KXHOCHULMENTION,3-6h,93-95¢,3,3,0,100.0,5.33,16.0,yes,KXHOCHULMENTION-26JAN30-SOCI|KXHOCHULMENTION-26JAN20-HEAL|KXHOCHULMENTION-26JAN20-AFFO
Mentions > Mentions,KXNFLMENTION,3-6h,93-95¢,3,3,0,100.0,5.33,16.0,yes,KXNFLMENTION-NFLNFCCHAMP-ONE|KXNFLMENTION-NFLNFCCHAMP-NEXT|KXNFLMENTION-26JAN18HOUNE-MVP
Sports > Soccer > Bundesliga,KXBUNDESLIGATOTAL,1-3h,96-98¢,5,5,0,100.0,3.2,16.0,yes,KXBUNDESLIGATOTAL-26JAN31SGELEV-3|KXBUNDESLIGATOTAL-26JAN25BMGVFB-2|KXBUNDESLIGATOTAL-26JAN13M05FCH-2|KXBUNDESLIGATOTAL-26JAN10FCHKOE-3|KXBUNDESLIGATOTAL-26JAN11BMGFCA-1
Sports > Football > NFL,KXNFLPREPACK2ML,1-3h,93-95¢,3,3,0,100.0,5.33,16.0,yes,KXNFLPREPACK2ML-26JAN17SEASFDENBUFCHILANEHOU-SEADEN|KXNFLPREPACK2ML-26JAN11JACBUFPHISFNELAC-SFNE|KXNFLPREPACK2ML-25DEC25KCDENMINDETWASDAL-DENDAL
Financials > Forex,KXEUROIMF,12-24h,93-95¢,3,3,0,100.0,5.33,16.0,yes,EUROIMF-05AUG22-T1.015|EUROIMF-22JUL22-T1.01|EUROIMF-14JUL22-T0.995
Sports > Soccer > La Liga,KXLALIGATOTAL,1-3h,96-98¢,5,5,0,100.0,3.2,16.0,yes,KXLALIGATOTAL-26FEB08ATHLEV-2|KXLALIGATOTAL-26FEB08VCFRMA-1|KXLALIGATOTAL-26FEB07RSOELC-3|KXLALIGATOTAL-26JAN30ESPALA-1|KXLALIGATOTAL-26JAN24RVCOSA-1
Economics > Employment & Fed,KXPAYROLLS,1-3h,93-95¢,3,3,0,100.0,5.33,16.0,yes,KXPAYROLLS-26JAN-T90000|KXPAYROLLS-26JAN-T30000|KXPAYROLLS-26JAN-T125000
Climate and Weather > Precipitation,KXSNOWNYM,24h+,96-98¢,5,5,0,100.0,3.0,15.0,yes,KXSNOWNYM-25FEB-T5.0|KXSNOWNYM-25JAN-T1.0|KXSNOWNYM-25JAN-T0.5|KXSNOWNYM-25JAN-T0.1|KXSNOWNYM-24DEC-T0.5
Mentions > Mentions,KXTRUMPMENTIONB,3-6h,93-95¢,3,3,0,100.0,5.0,15.0,yes,KXTRUMPMENTIONB-26FEB05-ICE|KXTRUMPMENTIONB-26JAN22-HOTT|KXTRUMPMENTIONB-26JAN14-ELEC
Economics > Inflation,KXCPISHELTER,24h+,93-95¢,3,3,0,100.0,5.0,15.0,yes,CPISHELTER-24SEP-T0.1|CPISHELTER-24JUL-T0.1|CPISHELTER-23DEC-T0.2
Sports > Basketball > NBA,KXNBAGAME,1-3h,96-98¢,5,5,0,100.0,3.0,15.0,yes,KXNBAGAME-26FEB10SASLAL-SAS|KXNBAGAME-26FEB08INDTOR-TOR|KXNBAGAME-26FEB07WASBKN-BKN|KXNBAGAME-26FEB05BKNORL-ORL|KXNBAGAME-26FEB01MILBOS-BOS
Sports > Soccer > Serie A,KXSERIEASPREAD,0-1h,96-98¢,5,5,0,100.0,2.8,14.0,yes,KXSERIEASPREAD-26FEB01PARJUV-JUV2|KXSERIEASPREAD-26JAN31CAGVER-CAG2|KXSERIEASPREAD-26JAN25JUVNAP-JUV2|KXSERIEASPREAD-26JAN24COMTOR-COM1|KXSERIEASPREAD-26JAN19LAZCOM-COM1
Mentions > Mentions,KXCOLBERTMENTION,12-24h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXCOLBERTMENTION-25OCT21-BIDE|KXCOLBERTMENTION-25OCT16-REPU
Financials > Forex,KXGBP,1-3h,96-98¢,6,6,0,100.0,2.33,14.0,yes,GBP-22AUG10-T1.205|GBP-22JUL27-T1.205|GBP-22JUL27-T1.200|GBP-22JUL19-T1.195|GBP-22JUL15-T1.175
Sports > Esports > League of Legends,KXLOLTOTALMAPS,6-12h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXLOLTOTALMAPS-26FEB08FLYC9-3|KXLOLTOTALMAPS-26JAN23LGDOMG-3
Climate and Weather > Temperature,KXHIGHTDC,12-24h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXHIGHTDC-26JAN18-B38.5|KXHIGHTDC-26JAN15-B45.5
Mentions > Mentions,KXNFLMENTION,24h+,96-98¢,6,6,0,100.0,2.33,14.0,yes,KXNFLMENTION-NFLNFCCHAMP-SAFE|KXNFLMENTION-NFLAFCCHAMP-SAFE|KXNFLMENTION-26JAN18LACHI-SAFE|KXNFLMENTION-26JAN18HOUNE-SAFE|KXNFLMENTION-26JAN18SFSEA-SAFE
Sports > Soccer > Serie A,KXSERIEAGAME,0-1h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXSERIEAGAME-26JAN15VERBFC-BFC|KXSERIEAGAME-26JAN07TORUDI-UDI
Sports > Football > NCAA Football,KXNCAAFGAME,1-3h,96-98¢,4,4,0,100.0,3.5,14.0,yes,KXNCAAFGAME-25DEC26FIUUTSA-UTSA|KXNCAAFGAME-25DEC26CMUNW-NW|KXNCAAFGAME-25DEC20TULNMISS-MISS|KXNCAAFGAME-25DEC06M-OHWMU-WMU
Sports > Soccer > Bundesliga,KXBUNDESLIGATOTAL,6-12h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXBUNDESLIGATOTAL-26FEB08BMUTSG-1|KXBUNDESLIGATOTAL-26JAN18VFBUNI-1
Economics > Inflation,KXCPI,24h+,93-95¢,19,18,1,94.7,0.74,14.0,yes,KXCPI-25DEC-T-0.1|KXCPI-25DEC-T0.0|KXCPI-25NOV-T0.0|KXCPI-25OCT-T-0.1|KXCPI-25OCT-T0.0
Sports > Baseball > MLB,KXMLBTOTAL,24h+,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXMLBTOTAL-25OCT15TORSEA-4|KXMLBTOTAL-25OCT15TORSEA-3
Sports > Soccer > Copa del Rey,KXCOPADELREYGAME,1-3h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXCOPADELREYGAME-25DEC17ALBRCC-TIE|KXCOPADELREYGAME-25DEC17ATLATM-ATM
Sports > Soccer > Belgian Pro League,KXBELGIANPLGAME,1-3h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXBELGIANPLGAME-25DEC27KAAWES-KAA|KXBELGIANPLGAME-25DEC26GENBRU-BRU
Climate and Weather > Temperature,KXLOWTDEN,0-1h,93-95¢,2,2,0,100.0,7.0,14.0,yes,KXLOWTDEN-26JAN23-T5|KXLOWTDEN-26JAN18-B25.5
World > Flight Delays,KXFLIGHTORD,1-3h,93-95¢,2,2,0,100.0,6.5,13.0,yes,KXFLIGHTORD-25NOV13-T400|FLIGHTORD-22AUG28-T700
Sports > Soccer > Ligue 1,KXLIGUE1GAME,0-1h,93-95¢,2,2,0,100.0,6.5,13.0,yes,KXLIGUE1GAME-26JAN04STBAUX-STB|KXLIGUE1GAME-25DEC13RENSTB-REN
Sports > Soccer > Ligue 1,KXLIGUE1GAME,1-3h,93-95¢,2,2,0,100.0,6.5,13.0,yes,KXLIGUE1GAME-26FEB08PSGOM-PSG|KXLIGUE1GAME-26JAN17ANGOM-OM
