sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Sports > Soccer > English Premier League,KXEPLGAME,1-3h,90-92¢,7,7,0,100.0,9.71,68.0,yes,KXEPLGAME-26FEB07BURWHU-WHU|KXEPLGAME-26FEB07ARSSUN-ARS|KXEPLGAME-26FEB07MUNTOT-MUN|KXEPLGAME-26FEB06LEENFO-LEE|KXEPLGAME-26FEB02SUNBUR-SUN
Financials > Forex,KXGBP,12-24h,90-92¢,7,7,0,100.0,9.71,68.0,yes,GBP-22AUG11-T1.215|GBP-22AUG05-T1.210|GBP-22JUL22-T1.190|GBP-22JUL15-T1.170|GBP-22JUL08-T1.19
Sports > Football > NFL,KXNFLGAME,0-1h,96-98¢,21,21,0,100.0,3.24,68.0,yes,KXNFLGAME-26JAN17BUFDEN-DEN|KXNFLGAME-26JAN04SEASF-SEA|KXNFLGAME-26JAN04KCLV-LV|KXNFLGAME-26JAN04WASPHI-WAS|KXNFLGAME-26JAN04INDHOU-HOU
Sports > Baseball > MLB,KXMLBSPREAD,0-1h,90-92¢,29,27,2,93.1,2.31,67.0,yes,KXMLBSPREAD-25OCT31LADTOR-LAD1|KXMLBSPREAD-25OCT29TORLAD-TOR3|KXMLBSPREAD-25OCT29TORLAD-TOR1|KXMLBSPREAD-25OCT28TORLAD-TOR3|KXMLBSPREAD-25OCT28TORLAD-TOR2
Climate and Weather > Precipitation,KXRAINSEA,3-6h,90-92¢,7,7,0,100.0,9.43,66.0,yes,RAINSEA-22JUN09-T0.5|RAINSEA-22JUN09-T0.4|RAINSEA-22JUN02-T0.05|RAINSEA-22MAY03-T0|RAINSEA-22APR25-T0.15
Sports > Football > NFL,KXNFL2TD,0-1h,90-92¢,7,7,0,100.0,9.43,66.0,yes,KXNFL2TD-26JAN11SFPHI-SFCMCCAFFREY23|KXNFL2TD-26JAN10LACAR-LAPNACUA12|KXNFL2TD-26JAN10LACAR-CARCHUBBARD30|KXNFL2TD-26JAN04MIANE-NETHENDERSON32|KXNFL2TD-25DEC28PHIBUF-BUFJALLEN17
Economics > Energy Prices,KXAAAGASM,24h+,93-95¢,11,11,0,100.0,5.91,65.0,yes,KXAAAGASM-25NOV30-3.00|KXAAAGASM-25NOV30-2.90|KXAAAGASM-25NOV30-2.80|KXAAAGASM-25OCT31-2.95|KXAAAGASM-25AUG31-3.05
Sports > Esports > League of Legends,KXLOLGAME,0-1h,90-92¢,47,43,4,91.5,1.38,65.0,yes,KXLOLGAME-26FEB11LNGWE-WE|KXLOLGAME-26FEB08DIGTL-TL|KXLOLGAME-26FEB08LOSLLL-LLL|KXLOLGAME-26FEB10OMGEDG-OMG|KXLOLGAME-26FEB09NIPIG-NIP
Entertainment > Other,KXTOPALBUM,24h+,90-92¢,7,7,0,100.0,9.29,65.0,yes,KXTOPALBUM-26JAN24-WIT|KXTOPALBUM-26JAN17-IMT|KXTOPALBUM-25DEC27-THE|KXTOPALBUM-25DEC20-THE|KXTOPALBUM-25DEC13-THE
Financials > Forex,KXGBP,1-3h,90-92¢,7,7,0,100.0,9.14,64.0,yes,GBP-22AUG11-T1.220|GBP-22AUG04-T1.210|GBP-22JUL29-T1.215|GBP-22JUL28-T1.210|GBP-22JUL22-T1.195
