ticker,category,series_title,total_markets,wins,losses,accuracy,expected_profit,profitable,breakeven,is_seasonal,is_year_round
KXTENNISEXHIBITION,Sports,Tennis Exhibition Match,6,5,1,83.33333333333334,-0.08666666666666656,False,False,False,False
KXWTAMIA,Sports,WTA Miami,6,5,1,83.33333333333334,-0.08666666666666656,False,False,False,False
KXHIGHHOU,Climate and Weather,Highest temperature in Houston,24,20,4,83.33333333333334,-0.08666666666666656,False,False,False,True
KXVALORANTGAME,Sports,Valorant game winner,65,54,11,83.07692307692308,-0.08923076923076922,False,False,False,False
KXLIGAMXGAME,Sports,Liga MX Game,53,44,9,83.01886792452831,-0.08981132075471698,False,False,False,False
KXVAXX,Health,COVID vaccinations,23,19,4,82.6086956521739,-0.09391304347826103,False,False,False,False
KXRAINNYC,Climate and Weather,NYC rain,34,28,6,82.35294117647058,-0.09647058823529421,False,False,False,True
KXHIGHTDC,Climate and Weather,Washington DC Daily Max Temp,17,14,3,82.35294117647058,-0.09647058823529421,False,False,False,True
KXHOCHULMENTION,Mentions,Kathy Hochul,90,74,16,82.22222222222221,-0.09777777777777785,False,False,False,True
KXEREDIVISIEGAME,Sports,Eredivisie Game,67,55,12,82.08955223880598,-0.09910447761194029,False,False,False,False
KXAPRPOTUS,Politics,President RCP approval rating this week,11,9,2,81.81818181818183,-0.10181818181818181,False,False,False,False
KXATPMAD,Sports,ATP Madrid,11,9,2,81.81818181818183,-0.10181818181818181,False,False,False,False
KXTORNADO,Climate and Weather,Number of Tornadoes,11,9,2,81.81818181818183,-0.10181818181818181,False,False,False,False
KXNCAAFPREPACKSGP,Sports,MVE NCAAF Pre Pack,11,9,2,81.81818181818183,-0.10181818181818181,False,False,True,False
KXCRICKETT20IMATCH,Sports,Cricket T20I Match,49,40,9,81.63265306122449,-0.10367346938775514,False,False,False,False
KXF1RACEPODIUM,Sports,F1 Race Podium Finisher,16,13,3,81.25,-0.10750000000000004,False,False,False,False
KXLOLTOTALMAPS,Sports,League of Legends Total Maps,16,13,3,81.25,-0.10750000000000004,False,False,False,False
KXEPLTOTAL,Sports,English Premier League Total Goals,79,64,15,81.0126582278481,-0.10987341772151892,False,False,False,False
KXLOWTLAX,Climate and Weather,Lowest Temperature in LA,21,17,4,80.95238095238095,-0.11047619047619052,False,False,False,False
KXLOWTNYC,Climate and Weather,Lowest temperature in NYC,21,17,4,80.95238095238095,-0.11047619047619052,False,False,False,False
KXBRASILEIROGAME,Sports,Brasileiro Serie A Game,73,59,14,80.82191780821918,-0.11178082191780825,False,False,False,False
KXMAMDANIMENTION,Mentions,What will Zohran Mamdani say?,87,70,17,80.45977011494253,-0.11540229885057474,False,False,False,True
KXR6GAME,Sports,R6 Game,35,28,7,80.0,-0.12,False,False,False,False
KXPICKLEBALL,Sports,pickleball,5,4,1,80.0,-0.12,False,False,False,False
KXPGARYDERMATCH,Sports,PGA Ryder Cup Matchups,15,12,3,80.0,-0.12,False,False,False,False
KXSWISSLEAGUEGAME,Sports,Swiss Super League Game,50,40,10,80.0,-0.12,False,False,False,False
KXSPACEXSTARSHIP,Companies,SpaceX Starship launch,25,20,5,80.0,-0.12,False,False,False,False
KXCPICORE,Economics,CPI core,15,12,3,80.0,-0.12,False,False,False,False
