category,sub_category,total_markets,wins,losses,accuracy_pct,avg_entry_price,flag
Sports,KXCS2GAME,98,86,12,87.75510204081633,0.9197959183673472,
Sports,KXLOLGAME,106,93,13,87.73584905660378,0.9030188679245286,
Sports,KXWNBAGAME,114,100,14,87.71929824561403,0.9140350877192984,
Crypto,KXETH15M,65,57,8,87.6923076923077,0.9047692307692309,
Sports,KXNBAAST,72,63,9,87.5,0.9744444444444444,
World,KXFLIGHTORD,48,42,6,87.5,0.96,
Climate and Weather,KXHIGHTNOLA,32,28,4,87.5,0.9265625,
Sports,KXPICKLEBALLGAMES,32,28,4,87.5,0.9796874999999999,
World,KXFLIGHTJFK,32,28,4,87.5,0.94625,
Economics,KXARGINFLATIONM,24,21,3,87.5,0.9579166666666667,
Politics,KX538APPROVEMIN,24,21,3,87.5,0.9429166666666666,
Economics,KXCPIAPPAREL,8,7,1,87.5,0.935,⚠️ LOW SAMPLE
Sports,KXLALIGAGAME,63,55,8,87.3015873015873,0.9049206349206348,
Financials,KXINXZ,70,61,9,87.14285714285714,0.9252857142857143,
Sports,KXNBASTL,61,53,8,86.88524590163934,0.9759016393442623,
Sports,KXMLBTOTAL,99,86,13,86.86868686868688,0.9464646464646467,
Sports,KXHNLGAME,38,33,5,86.8421052631579,0.9128947368421054,
Sports,KXAHLGAME,83,72,11,86.74698795180723,0.9265060240963859,
Mentions,KXCONGRESSMENTION,120,104,16,86.66666666666667,0.9093333333333333,
Sports,KXLOLGAMES,45,39,6,86.66666666666667,0.9317777777777776,
Sports,KXLIGAPORTUGALGAME,67,58,9,86.56716417910447,0.9097014925373135,
Sports,KXATPIT,52,45,7,86.53846153846155,0.9451923076923078,
Sports,KXMLBSPREAD,74,64,10,86.48648648648648,0.9309459459459459,
Economics,KXCPICORE,58,50,8,86.20689655172413,0.9477586206896553,
Sports,KXSERIEAGAME,65,56,9,86.15384615384616,0.9043076923076925,
Climate and Weather,KXHIGHDEN,36,31,5,86.11111111111111,0.9199999999999999,
Sports,KXFOWOMEN,100,86,14,86.0,0.9419000000000001,
Mentions,KXHOCHULMENTION,113,97,16,85.84070796460178,0.9169026548672568,
Sports,KXEKSTRAKLASAGAME,21,18,3,85.71428571428571,0.8999999999999998,
Sports,KXKNVBCUPGAME,14,12,2,85.71428571428571,0.9149999999999999,⚠️ LOW SAMPLE
Sports,KXWTAMOA,14,12,2,85.71428571428571,0.9585714285714287,⚠️ LOW SAMPLE
World,KXRAINNY,14,12,2,85.71428571428571,0.9264285714285715,⚠️ LOW SAMPLE
Sports,KXR6MAP,97,83,14,85.56701030927834,0.9705154639175257,
Sports,KXNCAAFSPREAD,76,65,11,85.52631578947368,0.9127631578947369,
Sports,KXCBAGAME,117,100,17,85.47008547008546,0.9068376068376072,
Sports,KXARGLNBGAME,61,52,9,85.24590163934425,0.9375409836065575,
Sports,KXFIBAECUPGAME,27,23,4,85.18518518518519,0.9170370370370371,
Sports,KXNBLGAME,94,80,14,85.1063829787234,0.9196808510638298,
Sports,KXMLSGAME,79,67,12,84.81012658227847,0.9091139240506335,
Sports,KXCSGOGAME,118,100,18,84.7457627118644,0.9208474576271188,
Sports,KXUECLGAME,78,66,12,84.61538461538461,0.9121794871794876,
Sports,KXBUNDESLIGAGAME,65,55,10,84.61538461538461,0.9066153846153846,
Sports,KXSHLGAME,65,55,10,84.61538461538461,0.9618461538461539,
Financials,KXEURO,13,11,2,84.61538461538461,0.9346153846153846,⚠️ LOW SAMPLE
Sports,KXARGPREMDIVGAME,64,54,10,84.375,0.9045312500000001,
Sports,KXEUROCUPGAME,102,86,16,84.31372549019608,0.9111764705882357,
Sports,KXUCLTOTAL,102,86,16,84.31372549019608,0.9274509803921569,
Sports,KXAFCONADVANCE,19,16,3,84.21052631578947,0.9142105263157894,⚠️ LOW SAMPLE
Sports,KXEFLCUPGAME,19,16,3,84.21052631578947,0.9184210526315789,⚠️ LOW SAMPLE
Sports,KXWOCURLGAME,31,26,5,83.87096774193549,0.96258064516129,
Sports,KXLIGAMXGAME,68,57,11,83.82352941176471,0.9122058823529412,
Sports,KXBUNDESLIGATOTAL,111,93,18,83.78378378378379,0.9334234234234234,
Economics,KXAAAGASW,48,40,8,83.33333333333334,0.92875,
Transportation,KXTSA,36,30,6,83.33333333333334,0.9674999999999999,
Health,KXVAXX,30,25,5,83.33333333333334,0.9199999999999999,
Sports,KXEPLSPREAD,24,20,4,83.33333333333334,0.9441666666666667,
Science and Technology,KXLLM1,18,15,3,83.33333333333334,0.9416666666666667,⚠️ LOW SAMPLE
Sports,KXATPDOUBLES,18,15,3,83.33333333333334,0.9394444444444444,⚠️ LOW SAMPLE
Sports,KXWTAMIA,18,15,3,83.33333333333334,0.9438888888888888,⚠️ LOW SAMPLE
Sports,KXUCLGOAL,6,5,1,83.33333333333334,0.9900000000000001,⚠️ LOW SAMPLE
Sports,KXBELGIANPLGAME,70,58,12,82.85714285714286,0.9085714285714285,
Climate and Weather,KXHIGHTDC,29,24,5,82.75862068965517,0.9213793103448276,
Economics,KXCPICOREYOY,52,43,9,82.6923076923077,0.9449999999999998,
Sports,KXLNBELITEGAME,51,42,9,82.35294117647058,0.918235294117647,
Climate and Weather,KXHIGHTLV,34,28,6,82.35294117647058,0.9238235294117648,
Sports,KXVALORANTMAP,73,60,13,82.1917808219178,0.9539726027397261,
Sports,KXSERIEASPREAD,28,23,5,82.14285714285714,0.9414285714285714,
Sports,KXTENNISEXHIBITION,28,23,5,82.14285714285714,0.9574999999999998,
Sports,KXFIBACHAMPLEAGUEGAME,50,41,9,82.0,0.9112,
Sports,KXKHLGAME,98,80,18,81.63265306122449,0.9374489795918369,
Economics,KXPCECORE,38,31,7,81.57894736842105,0.9600000000000001,
Sports,KXWTAMAD,38,31,7,81.57894736842105,0.9573684210526319,
Sports,KXLOLTOTALMAPS,92,75,17,81.52173913043478,0.961304347826087,
Sports,KXFOMEN,102,83,19,81.37254901960785,0.9422549019607845,
Sports,KXBRASILEIROGAME,75,61,14,81.33333333333333,0.9046666666666667,
Mentions,KXMAMDANIMENTION,96,78,18,81.25,0.9091666666666668,
Sports,KXDARTSMATCH,96,78,18,81.25,0.9566666666666667,
Climate and Weather,KXLOWTLAX,37,30,7,81.08108108108108,0.9232432432432434,
Sports,KXEPLTOTAL,99,80,19,80.8080808080808,0.915858585858586,
Mentions,KXVANCEMENTION,104,84,20,80.76923076923077,0.9185576923076924,
Climate and Weather,KXHURCAT,57,46,11,80.7017543859649,0.9385964912280703,
Climate and Weather,KXRAINNYCM,103,83,20,80.58252427184466,0.9445631067961165,
Sports,KXCLUBWCGAME,77,62,15,80.51948051948052,0.9250649350649353,
Sports,KXNHLGOAL,46,37,9,80.43478260869566,0.9678260869565215,
Sports,KXSWISSLEAGUEGAME,56,45,11,80.35714285714286,0.9067857142857143,
Sports,KXNBABLK,45,36,9,80.0,0.9800000000000002,
Health,KXCASEW,25,20,5,80.0,0.9288,
Sports,KXCOPPAITALIAGAME,15,12,3,80.0,0.9153333333333334,⚠️ LOW SAMPLE
Sports,KXNCAAFPREPACKSGP,15,12,3,80.0,0.9173333333333336,⚠️ LOW SAMPLE
Sports,KXDOTA2GAME,123,98,25,79.67479674796748,0.929918699186992,
Economics,KXPAYROLLS,29,23,6,79.3103448275862,0.9393103448275861,
Sports,KXATPMIA,29,23,6,79.3103448275862,0.9417241379310342,
Mentions,KXNCAAMENTION,125,99,26,79.2,0.9152800000000002,
Sports,KXEREDIVISIEGAME,72,57,15,79.16666666666666,0.9052777777777778,
Sports,KXNCAAHOCKEYGAME,84,66,18,78.57142857142857,0.9635714285714289,
Entertainment,KXAPPRANKFREE2,28,22,6,78.57142857142857,0.9482142857142856,
Sports,KXNCAAMLAXGAME,28,22,6,78.57142857142857,0.9785714285714286,
Politics,KXLAGODAYS,14,11,3,78.57142857142857,0.9321428571428573,⚠️ LOW SAMPLE
Sports,KXATPMAD,37,29,8,78.37837837837837,0.9583783783783784,
