Series_Ticker,Series_Title,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes
KXNFLPREPACK,MVE NFL Pre Pack,20,8,40.00,3,37.50,63.60
KXF1RACEPODIUM,F1 Race Podium Finisher,10,3,30.00,1,33.33,1637.87
KXWOSSKATE,Winter Olympics Speed Skating,10,3,30.00,1,33.33,3113.77
KXNFLRSHYDS,Pro Football player Rushing Yards,44,28,63.64,9,32.14,162.18
KXNBA3D,Pro Basketball Triple Double,100,25,25.00,6,24.00,186.89
KXUFCMOF,UFC Method of Finish,10,9,90.00,2,22.22,85.93
KXUFCMOV,UFC Method of Victory,22,21,95.45,2,9.52,298.60
KXMVENFLMULTIGAMEEXTENDED,MVE NFL Multi Game Extended,85,2,2.35,0,0.00,62.05
KXNHLPTS,Pro Hockey Points,67,1,1.49,0,0.00,153.80
KXWOLUGE,Winter Olympics Luge,10,3,30.00,0,0.00,3298.43
KXMVEGRAMMYS,MVE NFL Grammys,40,1,2.50,0,0.00,872.40
KXNFLANYTD,Pro Football Anytime Touchdown,13,2,15.38,0,0.00,172.35
KXNFLTEAMTOTAL,Pro Football Team Total Points,12,4,33.33,0,0.00,2149.65
KXMVENFLSINGLEGAME,MVE NFL Single Game,100,1,1.00,0,0.00,64.60
