Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09PAVVAN-VAN,Will Botic Van de Zandschulp win the Pavlovic vs Van de Zandschulp : Round Of 32 match?,,100,2026-02-09T18:54:24.840057Z,90,,,,87.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09MIDMAR-MAR,Will Pedro Martinez win the Midon vs Martinez : Round Of 32 match?,,100,2026-02-09T18:48:46.431712Z,90,,,,33.1,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09NAKBEL-NAK,Will Brandon Nakashima win the Nakashima vs Bellucci : Round Of 32 match?,,100,2026-02-09T18:28:33.54911Z,90,,,,53.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09ROYOCO-OCO,Will Christopher O'Connell win the Royer vs O'Connell : Round Of 32 match?,,100,2026-02-09T19:07:47.619388Z,90,,,,3.9,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB09DZUDEL-DEL,Will Hugo Dellien win the Dzumhur vs Dellien : Round Of 32 match?,,100,2026-02-09T17:05:37.444471Z,90,,,,46.9,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08MEDHUM-HUM,Will Ugo Humbert win the Medvedev vs Humbert : Round Of 32 match?,,100,2026-02-09T16:42:07.276586Z,90,,,,21.4,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08BAUNOR-NOR,Will Cameron Norrie win the Bautista Agut vs Norrie : Round Of 32 match?,,100,2026-02-09T12:58:16.982679Z,90,,,,74.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08JODCAS-JOD,Will Rafael Jodar win the Jodar vs Cassone : Qualification Final match?,,100,2026-02-08T20:53:29.429618Z,91,,,,98.8,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08SHITOM-SHI,Will Sho Shimabukuro win the Shimabukuro vs Tomic : Qualification Final match?,,100,2026-02-08T21:52:17.203839Z,90,,,,30.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08KYPPIN-PIN,Will Jack Pinnington Jones win the Kypson vs Pinnington Jones : Qualification Final match?,,100,2026-02-08T21:00:59.589808Z,91,,,,6.1,,CORRECT,
