Hierarchical_Path,Total_Markets,Correct,Wrong,Accuracy,EV_per_Contract,Profitable
Sports > Tennis > ATP Italian Open,52,45,7,0.8653846153846154,-5.505963461538461,No
Sports > Motorsport > Formula 1,51,40,11,0.7843137254901961,-13.613052450980398,No
Financials > Bonds,47,31,16,0.6595744680851063,-26.08697819148937,No
Science and Technology > Transportation,45,40,5,0.8888888888888888,-3.1555361111111195,No
Sports > Tennis > WTA Italian Open,40,30,10,0.75,-17.044425000000004,No
Companies > Companies,39,28,11,0.717948717948718,-20.249553205128205,No
Science and Technology > AI Models,39,31,8,0.7948717948717948,-12.557245512820522,No
Sports > Tennis > WTA Madrid,38,31,7,0.8157894736842105,-10.465477631578953,No
Sports > Soccer > Croatia HNL,38,33,5,0.868421052631579,-5.202319736842105,No
Sports > Tennis > ATP Madrid,37,29,8,0.7837837837837838,-13.666046621621627,No
Sports > Soccer > Coupe de France,35,24,11,0.6857142857142857,-23.47299642857143,No
Financials > Other Financials,33,7,26,0.21212121212121213,-70.8323037878788,No
Sports > Basketball > Unrivaled,32,25,7,0.78125,-13.919425000000004,No
Sports > Winter Olympics > Curling,31,26,5,0.8387096774193549,-8.173457258064515,No
Sports > Boxing > Boxing,30,22,8,0.7333333333333333,-18.711091666666675,No
Sports > Tennis > ATP Other,30,21,9,0.7,-22.044425000000007,No
Economics > Interest Rates,29,26,3,0.896551724137931,-2.3892525862068985,No
Sports > Tennis > ATP Miami,29,23,6,0.7931034482758621,-12.734080172413794,No
Sports > Soccer > Korea K League,29,18,11,0.6206896551724138,-29.97545948275862,No
Sports > Lacrosse > NCAA Lacrosse,28,22,6,0.7857142857142857,-13.472996428571433,No
Sports > Tennis > Exhibition,28,23,5,0.8214285714285714,-9.901567857142865,No
Sports > Winter Olympics > Luge,26,16,10,0.6153846153846154,-30.505963461538457,No
Sports > Soccer > Super League Greece,23,21,2,0.9130434782608695,-0.7400771739130517,No
Climate and Weather > Severe Weather,21,19,2,0.9047619047619048,-1.5682345238095263,No
Financials > Commodities,21,9,12,0.42857142857142855,-49.18728214285714,No
Sports > Soccer > Polish Ekstraklasa,21,18,3,0.8571428571428571,-6.330139285714294,No
Sports > Hockey > Winter Olympics,21,19,2,0.9047619047619048,-1.5682345238095263,No
Entertainment > Awards,20,12,8,0.6,-32.044425000000004,No
Entertainment > Television,20,12,8,0.6,-32.044425000000004,No
Sports > Basketball > NCAA Men's Basketball,20,20,0,1.0,7.955574999999997,Yes
Sports > Hockey > IIHF,20,15,5,0.75,-17.044425000000004,No
Sports > Cricket > ODI,19,12,7,0.631578947368421,-28.886530263157905,No
Sports > Soccer > EFL Cup,19,16,3,0.8421052631578947,-7.833898684210533,No
Sports > Tennis > WTA ATX Open,19,18,1,0.9473684210526315,2.6924171052631496,Yes
Sports > Football > NCAA Football Playoff,18,11,7,0.6111111111111112,-30.933313888888886,No
Sports > Tennis > WTA Miami,18,15,3,0.8333333333333334,-8.711091666666666,No
Sports > Soccer > Taca de Portugal,17,13,4,0.7647058823529411,-15.573836764705892,No
Sports > Esports > Other,16,15,1,0.9375,1.7055749999999965,Yes
Sports > Soccer > Coppa Italia,15,12,3,0.8,-12.044425,No
Sports > Soccer > KNVB Cup,14,12,2,0.8571428571428571,-6.330139285714294,No
Sports > Tennis > WTA Merida Open,14,12,2,0.8571428571428571,-6.330139285714294,No
World > Weather,14,12,2,0.8571428571428571,-6.330139285714294,No
Sports > Soccer > AFC Champions League,13,12,1,0.9230769230769231,0.26326730769230944,Yes
Sports > Soccer > DFB Pokal,13,12,1,0.9230769230769231,0.26326730769230944,Yes
Sports > Winter Olympics > Speed Skating,7,5,2,0.7142857142857143,-20.615853571428573,No
