Rank,Category,Subcategory,Series Ticker,Success Rate (%),Correct,Total Events,Wrong,Num Markets
146,Sports,Serie A Spread,KXSERIEASPREAD,82.1,23,28,5,28
147,Sports,Tennis Exhibition Match,KXTENNISEXHIBITION,82.1,23,28,5,28
148,Sports,FIBA Champions League Game,KXFIBACHAMPLEAGUEGAME,82.0,41,50,9,50
149,Sports,KHL Game,KXKHLGAME,81.6,80,98,18,98
150,Economics,US Core PCE inflation,KXPCECORE,81.6,31,38,7,38
151,Sports,WTA Madrid,KXWTAMAD,81.6,31,38,7,38
152,Sports,League of Legends Total Maps,KXLOLTOTALMAPS,81.5,75,92,17,92
153,Sports,French Open Men's,KXFOMEN,81.4,83,102,19,102
154,Sports,Brasileiro Serie A Game,KXBRASILEIROGAME,81.3,61,75,14,75
155,Sports,Darts Match,KXDARTSMATCH,81.2,78,96,18,96
156,Mentions,What will Zohran Mamdani say?,KXMAMDANIMENTION,81.2,78,96,18,96
157,Climate and Weather,Lowest Temperature in LA,KXLOWTLAX,81.1,30,37,7,37
158,Sports,English Premier League Total Goals,KXEPLTOTAL,80.8,80,99,19,99
159,Mentions,Vance Says,KXVANCEMENTION,80.8,84,104,20,104
160,Climate and Weather,Hurricane category,KXHURCAT,80.7,46,57,11,57
161,Climate and Weather,Monthly rain in New York,KXRAINNYCM,80.6,83,103,20,103
162,Sports,Club World Club Game,KXCLUBWCGAME,80.5,62,77,15,77
163,Sports,Pro Hockey Goalscorer,KXNHLGOAL,80.4,37,46,9,46
164,Sports,Swiss Super League Game,KXSWISSLEAGUEGAME,80.4,45,56,11,56
165,Sports,Pro Basketball Player Blocks,KXNBABLK,80.0,36,45,9,45
166,Health,New COVID-19 cases this week,KXCASEW,80.0,20,25,5,25
167,Sports,Coppa Italia Game,KXCOPPAITALIAGAME,80.0,12,15,3,15
168,Sports,MVE NCAAF Pre Pack,KXNCAAFPREPACKSGP,80.0,12,15,3,15
169,Sports,Dota 2 Game,KXDOTA2GAME,79.7,98,123,25,123
170,Economics,Jobs numbers,KXPAYROLLS,79.3,23,29,6,29
171,Sports,ATP Miami,KXATPMIA,79.3,23,29,6,29
172,Mentions,NCAA Mention,KXNCAAMENTION,79.2,99,125,26,125
173,Sports,Eredivisie Game,KXEREDIVISIEGAME,79.2,57,72,15,72
174,Sports,College Hockey Game,KXNCAAHOCKEYGAME,78.6,66,84,18,84
175,Entertainment,Free app ranking,KXAPPRANKFREE2,78.6,22,28,6,28
176,Sports,Men's College Lacrosse Game,KXNCAAMLAXGAME,78.6,22,28,6,28
177,Politics,Mar-a-Lago trips,KXLAGODAYS,78.6,11,14,3,14
178,Sports,ATP Madrid,KXATPMAD,78.4,29,37,8,37
179,Sports,Serie A Total,KXSERIEATOTAL,78.1,75,96,21,96
180,Sports,Unrivaled Basketball Game,KXUNRIVALEDGAME,78.1,25,32,7,32
181,Entertainment,Free app ranking,KXAPPRANKFREE,78.0,32,41,9,41
182,Sports,Pro Football Anytime Touchdown,KXNFLANYTD,78.0,39,50,11,50
183,Sports,CS2 Total Maps,KXCS2TOTALMAPS,78.0,46,59,13,59
184,Sports,NHL Spread,KXNHLSPREAD,77.8,42,54,12,54
185,Sports,Japan B League Game,KXJBLEAGUEGAME,77.6,83,107,24,107
186,Climate and Weather,Lowest Temperature Chicago,KXLOWTCHI,77.5,31,40,9,40
187,Sports,Japan J League Game,KXJLEAGUEGAME,76.9,40,52,12,52
188,Climate and Weather,Lowest temperature in Denver,KXLOWTDEN,76.9,30,39,9,39
189,Economics,CPI on shelter,KXCPISHELTER,76.9,10,13,3,13
190,Climate and Weather,NYC rain,KXRAINNYC,76.8,73,95,22,95
191,Sports,Australian A League Game,KXALEAGUEGAME,76.8,63,82,19,82
192,Sports,Valorant game winner,KXVALORANTGAME,76.7,92,120,28,120
193,Sports,Cricket T20I Match,KXCRICKETT20IMATCH,76.6,59,77,18,77
194,Sports,Ligue 1 Total,KXLIGUE1TOTAL,76.5,78,102,24,102
195,Sports,Taca de Portugal Game,KXTACAPORTGAME,76.5,13,17,4,17
196,Sports,Call of Duty Games,KXCODGAME,76.4,55,72,17,72
197,Sports,Copa Del Rey Game,KXCOPADELREYGAME,76.3,29,38,9,38
198,Climate and Weather,Highest temperature in Philadelphia,KXHIGHPHIL,76.2,32,42,10,42
199,Science and Technology,Top model,KXTOPMODEL,76.2,16,21,5,21
200,Mentions,What will Trump say?,KXTRUMPMENTION,76.1,67,88,21,88
201,Sports,MVE NFL Pre Pack,KXNFLPREPACKSGP,75.8,50,66,16,66
202,Politics,President RCP approval rating this week,KXAPRPOTUS,75.8,25,33,8,33
203,Sports,FA Cup Advance,KXFACUPADVANCE,75.8,25,33,8,33
204,Climate and Weather,Highest temperature in Chicago,KXHIGHCHI,75.6,31,41,10,41
205,Sports,Pro Football Player Receptions,KXNFLREC,75.2,76,101,25,101
206,Sports,WTA Italian Open,KXWTAIT,75.0,30,40,10,40
