timestamp,event_id,market_id,question,league,outcome_name,implied_prob,best_bid,best_ask,last_trade_price,clob_buy_price,token_id,game_start_time
2026-02-24T07:33:02.379605+00:00,205363,1367744,Total Kills Over/Under 32.5 in Game 2?,league-of-legends,Over,0.43,,0.86,,,40768637918553252231057772973162929697579007952349903734492303421497479932886,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367744,Total Kills Over/Under 32.5 in Game 2?,league-of-legends,Under,0.57,,0.86,,0.99,96584193653113990920343400726359739300089209295338222967456978286548107200598,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367745,First Blood in Game 1?,league-of-legends,JD Gaming,0.468,,0.936,,,1804953525364418084468501942927821137665660135037356399998804549984281214146,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367745,First Blood in Game 1?,league-of-legends,Top Esports,0.532,,0.936,,0.052,56984354791714123334091018021336939495274398408637637349457311626944697989710,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367746,Total Kills Over/Under 32.5 in Game 3?,league-of-legends,Over,0.5,0.05,0.95,,0.05,65309646441163098271508910094523873301701433463624550386773191463755118247178,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367746,Total Kills Over/Under 32.5 in Game 3?,league-of-legends,Under,0.5,0.05,0.95,,0.05,76487583053638518799143605302979235933384675089586942605940386305804331593548,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367747,First Blood in Game 2?,league-of-legends,JD Gaming,0.005,,0.01,0.51,,53563520279550500646904330569067133705343837734654447013576544645561869636385,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367747,First Blood in Game 2?,league-of-legends,Top Esports,0.995,,0.01,0.51,0.99,98831440936687727820366093292252653955630594372344324544262272314589563009949,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367748,First Blood in Game 3?,league-of-legends,JD Gaming,0.5,0.05,0.95,,0.05,12466518741023814302475972586404717474803493684851161906492436340870444045832,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367748,First Blood in Game 3?,league-of-legends,Top Esports,0.5,0.05,0.95,,0.05,69241211436490254491996423824302572302239781088979736543849067358178721801470,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367731,Total Kills Over/Under 28.5 in Game 2?,league-of-legends,Over,0.5,0.05,0.95,,0,22150780383877443518921919188228766371461641478460127196839204088094575232910,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367731,Total Kills Over/Under 28.5 in Game 2?,league-of-legends,Under,0.5,0.05,0.95,,0.99,18299421736041269692326654093388422551307160707510956265150855342987218314551,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367733,Total Kills Over/Under 30.5 in Game 3?,league-of-legends,Over,0.5,0.05,0.95,,0.05,43649729106255325805109514541021888178404049835757419688060196626801646387681,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367733,Total Kills Over/Under 30.5 in Game 3?,league-of-legends,Under,0.5,0.05,0.95,,0.05,50576325286370633881658907488109976507993612226902027529046712761283076733305,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367734,Total Kills Over/Under 28.5 in Game 1?,league-of-legends,Over,0.9995,0.999,1,0.999,0.999,41637828372653256958920178443110342760326037356352224548183011634960367831447,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367734,Total Kills Over/Under 28.5 in Game 1?,league-of-legends,Under,0.0005,0.999,1,0.999,,106752281576350346332557357352916905755746661786111758052620052960043324980459,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367735,Total Kills Over/Under 30.5 in Game 2?,league-of-legends,Over,0.5,0.05,0.95,,0,15195747914413133918258288442671246609310793521521320162939217124717428530390,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367735,Total Kills Over/Under 30.5 in Game 2?,league-of-legends,Under,0.5,0.05,0.95,,0.99,95577540060286265129347602096502112925444833305339118507101458503286153665142,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367736,Total Kills Over/Under 29.5 in Game 3?,league-of-legends,Over,0.5,0.05,0.95,,0.05,82657361660349556232151407993339164568980698283737326641514890319214497672990,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367736,Total Kills Over/Under 29.5 in Game 3?,league-of-legends,Under,0.5,0.05,0.95,,0.05,41112196923534437072292673909198047572959962738220872098326613523371199404352,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367737,Total Kills Over/Under 29.5 in Game 1?,league-of-legends,Over,0.9995,0.999,1,0.999,0.999,36893917400047023686263696768465589016084266948406744035703971080843262809656,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367737,Total Kills Over/Under 29.5 in Game 1?,league-of-legends,Under,0.0005,0.999,1,0.999,,6389059490351478717741430763053199797652282778491992929259448567834572470691,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367738,Total Kills Over/Under 29.5 in Game 2?,league-of-legends,Over,0.5,0.05,0.95,,0,34597039563896267187941932211841539316333480351024446986847405903496883279690,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367738,Total Kills Over/Under 29.5 in Game 2?,league-of-legends,Under,0.5,0.05,0.95,,0.99,109393388049823538527016722633309131249285935295215182551331969077863247382735,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367739,Total Kills Over/Under 28.5 in Game 3?,league-of-legends,Over,0.5,0.05,0.95,,0.05,110417691209917424961845359581811957714593631936921495329922671685982185187306,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367739,Total Kills Over/Under 28.5 in Game 3?,league-of-legends,Under,0.5,0.05,0.95,,0.05,42232820070031836158539116311096012047754740934131448030312549215742291081447,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367740,Total Kills Over/Under 31.5 in Game 1?,league-of-legends,Over,0.9995,0.999,1,0.999,0.999,40596571123629106838173397359479897851899491990326479580727392443054901575764,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367740,Total Kills Over/Under 31.5 in Game 1?,league-of-legends,Under,0.0005,0.999,1,0.999,,76076626087698081214409849345996826848030889869464830317040094111547443112459,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367741,Total Kills Over/Under 31.5 in Game 2?,league-of-legends,Over,0.005,,0.01,0.95,,109630241260999439817347199562004711652228941902745370927610372540008730895432,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1367741,Total Kills Over/Under 31.5 in Game 2?,league-of-legends,Under,0.995,,0.01,0.95,0.99,488923822176338904892895070994181384422374106224547587899281904347821450892,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424423,Total Kills Over/Under 27.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,84868416575972238548730972765938775022972304311599867113026674182116178461643,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424423,Total Kills Over/Under 27.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.03,44012260123691326750834959074465652491846875919386638970492310000201047614806,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424424,Total Kills Over/Under 26.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,110225729436659577313585143717271688098610467414613344048677766433503186440747,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424424,Total Kills Over/Under 26.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.03,69496393519117072634166044589215271524330554057065982021469906754090140175225,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424437,Total Kills Over/Under 33.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,41612830092867236397947698399793781701199545150518615458388549440814331588327,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424437,Total Kills Over/Under 33.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.99,37269283874321509562974291451786226796940294910156823587498756677850840039458,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424442,Total Kills Over/Under 25.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,13587379933045447348564103005967916154972020316703282057257137774210423853851,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424442,Total Kills Over/Under 25.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.99,48780179891262333119982647587362443847884403743473529395314432070562537389260,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424443,Total Kills Over/Under 24.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,62646694960050318384287853911749501037592383450391458249133950932143307047596,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424443,Total Kills Over/Under 24.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.02,12740991696927378785610003285296260240183697499963977152995390751225580043767,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424444,Total Kills Over/Under 34.5 in Game 2?,league-of-legends,Over,0.495,,0.99,,,52840885842938493191647703040915324729588394627098714200021887558609913669766,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424444,Total Kills Over/Under 34.5 in Game 2?,league-of-legends,Under,0.505,,0.99,,0.99,82555792251588519379534993651893535049647521947487599939007786864792676525294,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424445,Total Kills Over/Under 35.5 in Game 2?,league-of-legends,Over,0.5,0.01,0.99,,0,4112336137929410908406721011135828327179372991386876245826638982856827736153,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424445,Total Kills Over/Under 35.5 in Game 2?,league-of-legends,Under,0.5,0.01,0.99,,0.99,85159603308489345855822060554251412307865055427716715705431290578793794835390,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424554,Total Kills Over/Under 36.5 in Game 2?,league-of-legends,Over,,0,1,0,,52162079991356499192772917924940252364476819226302896314662033606434997419522,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424554,Total Kills Over/Under 36.5 in Game 2?,league-of-legends,Under,,0,1,0,,987978984944829508369287372824669972835288124903246514608266870247618037735,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424555,Total Kills Over/Under 23.5 in Game 2?,league-of-legends,Over,,0,1,0,,85816091632434136054636841117855666503681426856277819987917482123776253631707,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424555,Total Kills Over/Under 23.5 in Game 2?,league-of-legends,Under,,0,1,0,,23743367521883015941764400663863527437174587603101556301334720804173285279723,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424556,Total Kills Over/Under 19.5 in Game 2?,league-of-legends,Over,,0,1,0,,58209611477372760265367597263985164057055061231006796141832600917606713768848,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424556,Total Kills Over/Under 19.5 in Game 2?,league-of-legends,Under,,0,1,0,,47121277666499078704120616759317042277560055197770109934453804671979089886981,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424557,Total Kills Over/Under 21.5 in Game 2?,league-of-legends,Over,,0,1,0,,95126387736208696559885130891578427527479867859664283525598497863017922147876,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424557,Total Kills Over/Under 21.5 in Game 2?,league-of-legends,Under,,0,1,0,,32011184269760316420167626526397520996518513386058785341854012584734671484336,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424558,Total Kills Over/Under 22.5 in Game 2?,league-of-legends,Over,,0,1,0,,103907593503285050490870755465251845003940969642024518953407772708221957756573,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424558,Total Kills Over/Under 22.5 in Game 2?,league-of-legends,Under,,0,1,0,,44095283594967193947597759563836851514991416866272384268578338264178178632041,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424559,Total Kills Over/Under 20.5 in Game 2?,league-of-legends,Over,,0,1,0,,42456030192215750114967289787910991570393328849449774089615578275597304435191,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424559,Total Kills Over/Under 20.5 in Game 2?,league-of-legends,Under,,0,1,0,,45672759888233450187155228925299701292689827331559994521581735499428155923152,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424560,Total Kills Over/Under 39.5 in Game 2?,league-of-legends,Over,,0,1,0,,47463896146551219009249155961822048991410050710763962715454676473246061289502,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424560,Total Kills Over/Under 39.5 in Game 2?,league-of-legends,Under,,0,1,0,,65873547874446282684680403136127443415097087227713028751052151482176898552021,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424561,Total Kills Over/Under 37.5 in Game 2?,league-of-legends,Over,,0,1,0,,103416456222504928474865302894978878194453885572404574100818882241095205289911,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424561,Total Kills Over/Under 37.5 in Game 2?,league-of-legends,Under,,0,1,0,,70134687779296554884522952723975422088341644223669321201232145581352561203408,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424562,Total Kills Over/Under 38.5 in Game 2?,league-of-legends,Over,,0,1,0,,29353905451167361347407273011326211459736284025648408183621458800009088918788,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424562,Total Kills Over/Under 38.5 in Game 2?,league-of-legends,Under,,0,1,0,,33171756189733277863925928325837050251214015666526548852717304252100220221521,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424563,LoL: JD Gaming vs Top Esports - Game 4 Winner,league-of-legends,JD Gaming,,0,1,0,,50771240178557111816059881496107387869070082272404835760043686153754047315291,2026-02-24 06:10:00+00
