timestamp,event_name,league,game_id,market_type,outcome_name,implied_prob,clob_buy_price,clob_sell_price,spread,best_bid,best_ask,volume,liquidity,game_score,game_period,game_elapsed,token_id,market_id,event_id
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,moneyline,Ground Zero,0.275,,,,0.51,0.94,2576.251698,47.1793,1-0,2/3,64m,86953442957876287455737690155049930730472781921348486985444892530687618445094,1418880,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,moneyline,THUNDER dOWNUNDER,0.695,0.55,0.82,-0.270000,0.51,0.88,18.133332,79.5385,1-0,2/3,64m,104864683705876484767645231683083904851427708170279978956685667586426670350680,1418882,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,moneyline,Ground Zero,0.305,,,,0.51,0.88,18.133332,79.5385,1-0,2/3,64m,85230912013147695201022233199700855192730573547604990792710837410857688874430,1418882,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,over_under,Over,0.5,,,,0.05,0.95,,3.3685,1-0,2/3,64m,409675309428972686115440590892041721252497306447380175335482906520736665497,1418883,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,over_under,Under,0.5,,,,0.05,0.95,,3.3685,1-0,2/3,64m,49160778846850246680493269159813613852616425553238345281640211345711705729894,1418883,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,spread,THUNDER dOWNUNDER,0.5,,,,0.05,0.95,,3.5939,1-0,2/3,64m,50931656211570714104187247593535523035787865953396683240878801621028176516618,1418884,225664
2026-02-24T11:04:20.233399+00:00,Counter-Strike: THUNDER dOWNUNDER vs Ground Zero (BO3) - ESL Challenger League Oceania Cup 1 Playoffs,counter-strike,1363327,spread,Ground Zero,0.5,,,,0.05,0.95,,3.5939,1-0,2/3,64m,86209404281388866139646134187234140260284825918821590025783902088140616942221,1418884,225664
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,spread,DN SOOPers Challengers,0.65,0.34,0.96,-0.620000,0.34,0.96,15199.601077,8.4503,2-1,4/5,184m,103761150826719273233190628399149135000456390239582468388873522131024705201398,1419417,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,spread,DRX Challengers,0.35,,,,0.34,0.96,15199.601077,8.4503,2-1,4/5,184m,69595968185953138534752873836225501939885683824085630142303754597784942546795,1419417,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,over_under,Over,0.505,,,,0.07,0.94,51.42857,44.5939,2-1,4/5,184m,38577324035499805436279671265928119872990378732074042044433432044219968070481,1419412,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,over_under,Under,0.495,,,,0.07,0.94,51.42857,44.5939,2-1,4/5,184m,91069929075742662452705949031302345046020275899074526709059403475908838785078,1419412,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DN SOOPers Challengers,0.5,,,,0.05,0.95,,3.3688,2-1,4/5,184m,26029972703165541651258344712294966830644166170725538990864466325424219795540,1419424,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DRX Challengers,0.5,,,,0.05,0.95,,3.3688,2-1,4/5,184m,88525420302887244435930785005284411425606000389746051410119743861228903296840,1419424,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DN SOOPers Challengers,0.545,0.48,0.6,-0.120000,0.47,0.62,370.055379,1775.8438,2-1,4/5,184m,19175061897539065408748302735024135486619751827390896511740956025303443728272,1425219,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DRX Challengers,0.455,,,,0.47,0.62,370.055379,1775.8438,2-1,4/5,184m,96861780718243682147731785152690677363615330750796741630115827250689674856901,1425219,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DN SOOPers Challengers,0.5,,,,0.05,0.95,,3.4249,2-1,4/5,184m,11030469953244058017899405306011935784902714723579427981108862754384581439979,1419421,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DRX Challengers,0.5,,,,0.05,0.95,,3.4249,2-1,4/5,184m,73905598224305130003090718866773314897442114003437832744105091429286572927340,1419421,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DN SOOPers Challengers,0.8,0.78,0.81,-0.030000,0.79,0.81,62189.485298,6987.4886,2-1,4/5,184m,38810798789282224339983108244739397786282666221504795638299063488383382812186,1419379,225877
2026-02-24T11:04:20.233399+00:00,LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,league-of-legends,1310977,moneyline,DRX Challengers,0.2,,,,0.79,0.81,62189.485298,6987.4886,2-1,4/5,184m,62144727945631567802682510728959834128806006321451306542714174569499511912085,1419379,225877
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,moneyline,GamerLegion,0.865,0.87,0.95,-0.080000,0.83,0.9,36359.774579,1819.2062,1-0,2/3,124m,95415656810876465004867821543471407407714263164042841137128832154536624538133,1420424,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,moneyline,Sinners,0.135,,,,0.83,0.9,36359.774579,1819.2062,1-0,2/3,124m,14635922697231610848710003707411964305863989705703534655324584068042929663601,1420424,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,moneyline,GamerLegion,0.765,0.75,0.84,-0.090000,0.73,0.8,1269.408791,573.5243,1-0,2/3,124m,59754866440038909500652328029455537781615790413301591881238396826939073949504,1420426,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,moneyline,Sinners,0.235,,,,0.73,0.8,1269.408791,573.5243,1-0,2/3,124m,44500877304086809101508467473945766693112280584617292500609007673950354042542,1420426,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,over_under,Over,0.5,,,,0.05,0.95,,3.4248,1-0,2/3,124m,74164148036658806630608682865471146268458571837902272277439381112782946684168,1420427,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,over_under,Under,0.5,,,,0.05,0.95,,3.4248,1-0,2/3,124m,36041139795880071435763641784473895652656416642380011249898437643429017759196,1420427,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,spread,GamerLegion,0.5,,,,0.05,0.95,1.265819,3.4245,1-0,2/3,124m,32239309934658940415071410812464762528735815424510071023692876215456382317179,1420428,226043
2026-02-24T11:04:20.233399+00:00,Counter-Strike: GamerLegion vs Sinners (BO3) - Parken Challenger Championship Playoffs,counter-strike,1366440,spread,Sinners,0.5,,,,0.05,0.95,1.265819,3.4245,1-0,2/3,124m,83414158860640963912394849255242263473070097115701889429384670717092719223984,1420428,226043
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Over,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,63165497028576182268894027517545463456870672415820001569993355622626224961925,1425224,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Under,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,112389477071772170929666766703383528341428439829052783800587390969383573402448,1425224,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Over,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,35161395094394456659909959124297260539983985723868394147133191551546689876497,1425225,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Under,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,37295466195510462764105244831229140111391544370935533316402886838842267174691,1425225,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Over,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,29835850652541151397480166361211785932689273466182756084084883535038041397485,1425218,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,over_under,Under,0.5,,,,0.05,0.95,,3.2,0-0,1/3,34m,99166730500145731520171880508836796756099890141603184179889286942392261968528,1425218,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,spread,Xtreme Gaming,0.5,,,,0.01,0.99,,2,0-0,1/3,34m,54373996426012201367168056198174500773022232586254995947224250044663385467579,1425240,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,spread,Tundra Esports,0.5,,,,0.01,0.99,,2,0-0,1/3,34m,87049869537193651231905792459977034027597942779636242210906986269386774549725,1425240,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,moneyline,Xtreme Gaming,0.39,,,,0.38,0.4,119131.26004,25014.8015,0-0,1/3,34m,70746027012571198743830746042093779600374130468909615345592701146264232917195,1421652,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,moneyline,Tundra Esports,0.61,0.58,0.65,-0.070000,0.38,0.4,119131.26004,25014.8015,0-0,1/3,34m,5461545188224927232639818771174519196461521998912701741949101516644388590255,1421652,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,moneyline,Xtreme Gaming,0.43,,,,0.42,0.44,76098.299468,23414.2971,0-0,1/3,34m,49041728843086080515550855438657704171858841160016123773429601982588144584742,1421653,226398
2026-02-24T11:04:20.233399+00:00,Dota 2: Xtreme Gaming vs Tundra Esports (BO3) - DreamLeague Stage 2,dota-2,1358106,moneyline,Tundra Esports,0.57,0.72,0.83,-0.110000,0.42,0.44,76098.299468,23414.2971,0-0,1/3,34m,44660326611370511082895310245934166865497988593283280341523343643284518936162,1421653,226398
